,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
38829,1437,228,Haarlemmermeer,
38839,1438,310,Haarlemmermeer,
38856,1441,187,Purmerend,
39231,1442,156,Purmerend,
39422,1443,148,Purmerend,
39609,1444,171,Purmerend,
39787,1445,161,Purmerend,
40008,1446,178,Purmerend,
40174,1447,223,Purmerend,
40437,1448,242,Purmerend,
40707,1451,397,Landsmeer,
40718,1452,271,Waterland,
40769,1454,383,Waterland,
40784,1456,317,Wormerland,
40827,1458,393,Wormerland,
40831,1461,322,Beemster,
40922,1462,268,Beemster,
41062,1463,438,Beemster,
41081,1464,388,Beemster,
41102,1471,306,Zeevang,
41123,1472,327,Zeevang,
41145,1473,350,Zeevang,
41163,1474,228,Zeevang,
41269,1475,276,Zeevang,
41285,1476,407,Zeevang,
41290,1477,320,Zeevang,
41294,1481,384,Edam-Volendam,
41298,1481,384,Purmerend,
41299,1482,479,Waterland,
41304,1483,229,Graft-De Rijp,
41413,1483,229,Schermer,
41427,1484,270,Graft-De Rijp,
41449,1485,487,Graft-De Rijp,
41451,1486,255,Graft-De Rijp,
41472,1487,252,Graft-De Rijp,
41477,1488,374,Graft-De Rijp,
41486,1489,414,Castricum,
41492,1501,155,Zaanstad,
41675,1502,159,Zaanstad,
41888,1503,148,Zaanstad,
42090,1504,136,Zaanstad,
42247,1505,154,Zaanstad,
42389,1506,186,Zaanstad,
42755,1507,205,Zaanstad,
43033,1508,138,Zaanstad,
43155,1509,192,Zaanstad,
43337,1511,271,Oostzaan,
43555,1521,155,Zaanstad,
43899,1525,240,Zaanstad,
43922,1531,206,Wormerland,
44227,1534,285,Wormerland,
44245,1536,290,Graft-De Rijp,
44257,1541,197,Zaanstad,
44579,1544,189,Zaanstad,
44814,1546,305,Wormerland,
44836,1551,250,Zaanstad,
44972,1561,162,Zaanstad,
45204,1562,212,Zaanstad,
45429,1566,227,Zaanstad,
45753,1567,255,Zaanstad,
45886,1601,194,Enkhuizen,
46157,1602,169,Enkhuizen,
46421,1606,218,Drechterland,
46524,1607,236,Drechterland,
46535,1607,236,Zaanstad,
46569,1608,278,Drechterland,
46608,1609,296,Drechterland,
46612,1611,191,Stede Broec,
46841,1613,189,Stede Broec,
47033,1614,201,Stede Broec,
47083,1616,215,Drechterland,
47119,1616,215,Stede Broec,
47276,1617,232,Drechterland,
47321,1619,202,Medemblik,
47498,1621,224,Hoorn,
47701,1622,146,Hoorn,
47886,1623,219,Hoorn,
47959,1624,189,Hoorn,
48090,1625,175,Hoorn,
48319,1628,174,Hoorn,
48645,1631,283,Koggenland,
48656,1633,231,Koggenland,
48730,1634,215,Koggenland,
48742,1636,206,Schermer,
48779,1641,214,Koggenland,
48801,1642,277,Koggenland,
48802,1643,325,Koggenland,
48813,1645,231,Koggenland,
48895,1646,369,Schermer,
48900,1647,262,Koggenland,
48966,1648,217,Koggenland,
49044,1652,277,Koggenland,
49056,1654,259,Medemblik,
49078,1655,220,Medemblik,
49100,1657,214,Medemblik,
49118,1657,214,Opmeer,
49155,1658,281,Medemblik,
49163,1661,278,Opmeer,
49172,1662,237,Opmeer,
49178,1663,267,Opmeer,
49182,1671,187,Medemblik,
49434,1674,220,Medemblik,
49487,1676,252,Medemblik,
49514,1678,254,Medemblik,
49540,1679,201,Medemblik,
49599,1681,310,Medemblik,
49621,1682,312,Medemblik,
49626,1683,277,Medemblik,
49634,1684,234,Medemblik,
49647,1685,254,Medemblik,
49656,1686,306,Medemblik,
49661,1687,258,Medemblik,
49789,1688,225,Medemblik,
49840,1689,185,Hoorn,
50148,1691,273,Medemblik,
50164,1692,335,Medemblik,
50166,1693,213,Medemblik,
50355,1695,236,Hoorn,
50455,1696,252,Drechterland,
50492,1697,305,Drechterland,
50512,1701,199,Heerhugowaard,
50719,1702,189,Heerhugowaard,
50915,1703,174,Heerhugowaard,
51246,1704,243,Heerhugowaard,
51398,1704,243,Koggenland,
51444,1705,211,Heerhugowaard,
51698,1706,239,Heerhugowaard,
51701,1711,258,Koggenland,
51742,1713,225,Koggenland,
51903,1715,237,Opmeer,
51998,1716,210,Opmeer,
52063,1718,227,Opmeer,
52159,1719,308,Opmeer,
52177,1721,262,Langedijk,
52321,1722,254,Langedijk,
52491,1723,202,Langedijk,
52643,1724,241,Langedijk,
52673,1724,241,Schagen,
52743,1731,219,Hollands Kroon,
52826,1732,242,Hollands Kroon,
52851,1733,234,Hollands Kroon,
52935,1734,295,Hollands Kroon,
52949,1735,221,Hollands Kroon,
53005,1736,307,Hollands Kroon,
53018,1738,244,Schagen,
53090,1741,211,Schagen,
53414,1742,206,Schagen,
53599,1744,257,Schagen,
53658,1746,239,Schagen,
53705,1747,237,Schagen,
53799,1749,253,Schagen,
53974,1751,237,Schagen,
54035,1752,236,Schagen,
54054,1753,211,Schagen,
54075,1754,236,Schagen,
54099,1755,217,Schagen,
54116,1755,217,Bergen (NH.),
54153,1756,197,Schagen,
54222,1757,208,Schagen,
54245,1759,228,Schagen,
54347,1761,196,Hollands Kroon,
54555,1764,219,Hollands Kroon,
54646,1766,188,Hollands Kroon,
54710,1767,193,Hollands Kroon,
54742,1768,271,Hollands Kroon,
54768,1769,359,Hollands Kroon,
54776,1771,178,Hollands Kroon,
54959,1773,123,Hollands Kroon,
54974,1774,206,Hollands Kroon,
55033,1775,180,Hollands Kroon,
55152,1777,184,Hollands Kroon,
55327,1778,229,Hollands Kroon,
55363,1779,173,Hollands Kroon,
55457,1781,116,Den Helder,
55776,1782,130,Den Helder,
56076,1783,130,Den Helder,
56166,1784,130,Den Helder,
56426,1785,145,Den Helder,
56677,1786,244,Den Helder,
56698,1787,212,Den Helder,
56779,1788,177,Den Helder,
57045,1789,276,Den Helder,
57066,1791,250,Texel,
57306,1792,261,Texel,
57358,1793,355,Texel,
57385,1794,272,Texel,
57435,1794,272,Terschelling,
57452,1795,295,Texel,
57538,1796,341,Texel,
57642,1797,274,Texel,
57702,1811,184,Alkmaar,
57905,1812,231,Alkmaar,
57952,1813,152,Alkmaar,
58165,1814,188,Alkmaar,
58413,1815,233,Alkmaar,
58620,1816,158,Alkmaar,
58847,1817,246,Alkmaar,
58968,1821,176,Alkmaar,
59014,1822,275,Alkmaar,
59087,1823,192,Alkmaar,
59251,1824,158,Alkmaar,
59430,1825,148,Alkmaar,
59690,1826,160,Alkmaar,
59848,1827,175,Alkmaar,
60084,1829,233,Alkmaar,
60196,1831,197,Alkmaar,
60268,1832,322,Langedijk,
60277,1834,260,Langedijk,
60430,1841,223,Schermer,
60473,1842,298,Schermer,
60476,1842,298,Heerhugowaard,
60491,1843,297,Schermer,
60514,1844,356,Schermer,
60525,1846,277,Schermer,
60535,1847,320,Schermer,
60542,1851,298,Heiloo,
60854,1852,285,Heiloo,
61091,1853,281,Heiloo,
61096,1861,509,Bergen (NH.),
61300,1862,316,Bergen (NH.),
61486,1865,517,Bergen (NH.),
61514,1871,381,Bergen (NH.),
61669,1873,299,Bergen (NH.),
61710,1901,256,Castricum,
62096,1902,253,Castricum,
62334,1906,309,Castricum,
62393,1906,309,Heiloo,
62511,1911,247,Uitgeest,
62825,1921,266,Castricum,
62957,1931,259,Bergen (NH.),
63111,1934,282,Bergen (NH.),
63212,1935,260,Bergen (NH.),
63287,1941,136,Beverwijk,
63387,1942,248,Beverwijk,
63446,1943,197,Beverwijk,
63578,1944,175,Beverwijk,
63766,1945,168,Beverwijk,
63934,1946,146,Beverwijk,
64031,1947,160,Beverwijk,
64113,1948,269,Beverwijk,
64215,1949,205,Beverwijk,
64277,1951,142,Velsen,
64449,1961,210,Heemskerk,
64486,1962,174,Heemskerk,
64683,1963,225,Heemskerk,
64810,1964,215,Heemskerk,
65002,1965,270,Heemskerk,
65135,1966,156,Heemskerk,
65258,1967,288,Heemskerk,
65326,1968,425,Heemskerk,
65335,1969,346,Heemskerk,
65377,1971,187,Velsen,
65600,1972,161,Velsen,
65815,1973,167,Velsen,
65947,1974,167,Velsen,
66084,1975,158,Velsen,
66168,1976,268,Velsen,
66244,1981,362,Velsen,
66320,1985,369,Velsen,
66402,1991,257,Velsen,
66705,1992,302,Velsen,
66786,2011,262,Haarlem,
67240,2012,414,Haarlem,
67586,2013,273,Haarlem,
67796,2014,281,Haarlem,
67992,2015,364,Haarlem,
68143,2019,330,Haarlem,
68156,2021,213,Haarlem,
68356,2022,228,Haarlem,
68542,2023,360,Haarlem,
68822,2024,289,Haarlem,
69062,2025,215,Haarlem,
69278,2026,250,Haarlem,
69413,2031,312,Haarlem,
69509,2032,198,Haarlem,
69721,2033,186,Haarlem,
70044,2034,167,Haarlem,
70326,2035,167,Haarlem,
70492,2036,188,Haarlem,
70695,2037,166,Haarlem,
70910,2041,204,Zandvoort,
71137,2042,275,Zandvoort,
71397,2051,613,Bloemendaal,
71519,2061,628,Bloemendaal,
71751,2063,319,Haarlem,
