,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
131480,3023,144,Rotterdam,
131683,3024,151,Rotterdam,
131843,3025,110,Rotterdam,
132007,3026,98,Rotterdam,
132166,3027,109,Rotterdam,
132353,3028,88,Rotterdam,
132560,3029,106,Rotterdam,
132570,3029,106,Dordrecht,
132625,3031,132,Rotterdam,
132771,3032,140,Rotterdam,
132898,3033,148,Rotterdam,
133035,3034,130,Rotterdam,
133235,3035,122,Rotterdam,
133450,3036,119,Rotterdam,
133673,3037,168,Rotterdam,
133867,3038,119,Rotterdam,
134096,3039,166,Rotterdam,
134366,3042,132,Rotterdam,
134598,3043,172,Rotterdam,
134809,3044,310,Rotterdam,
134828,3044,310,Schiedam,
134874,3045,331,Rotterdam,
134952,3046,366,Rotterdam,
134964,3047,459,Rotterdam,
134996,3051,204,Rotterdam,
135244,3052,150,Rotterdam,
135396,3053,183,Rotterdam,
135691,3054,315,Rotterdam,
135893,3055,389,Rotterdam,
136134,3056,300,Rotterdam,
136195,3059,314,Rotterdam,
136309,3061,158,Rotterdam,
136638,3062,415,Rotterdam,
136885,3063,157,Rotterdam,
137032,3064,158,Rotterdam,
137064,3065,333,Rotterdam,
137178,3066,181,Rotterdam,
137353,3067,135,Rotterdam,
137737,3068,150,Rotterdam,
138103,3069,160,Rotterdam,
138418,3071,150,Rotterdam,
138669,3072,152,Rotterdam,
138963,3073,98,Rotterdam,
139248,3074,96,Rotterdam,
139506,3075,127,Rotterdam,
139817,3076,117,Rotterdam,
140122,3077,141,Rotterdam,
140412,3078,128,Rotterdam,
140675,3079,121,Rotterdam,
140995,3081,79,Rotterdam,
141274,3082,99,Rotterdam,
141566,3083,82,Rotterdam,
141919,3084,132,Rotterdam,
141998,3085,106,Rotterdam,
142299,3086,104,Rotterdam,
142555,3087,136,Rotterdam,
142613,3089,131,Rotterdam,
142706,3111,168,Schiedam,
142859,3112,110,Schiedam,
143143,3113,137,Schiedam,
143165,3114,128,Schiedam,
143350,3115,191,Schiedam,
143367,3116,247,Schiedam,
143465,3117,133,Schiedam,
143740,3118,113,Schiedam,
143849,3119,118,Schiedam,
144059,3121,222,Schiedam,
144146,3122,118,Schiedam,
144315,3123,177,Schiedam,
144463,3124,247,Schiedam,
144570,3125,272,Schiedam,
144614,3131,144,Vlaardingen,
144933,3132,132,Vlaardingen,
145209,3133,146,Vlaardingen,
145277,3134,177,Vlaardingen,
145453,3135,187,Vlaardingen,
145727,3136,156,Vlaardingen,
145991,3137,193,Vlaardingen,
146209,3138,600,Vlaardingen,
146217,3141,162,Maassluis,
146386,3142,187,Maassluis,
146499,3143,189,Maassluis,
146565,3144,190,Maassluis,
146689,3145,199,Maassluis,
146824,3146,211,Maassluis,
146904,3147,406,Maassluis,
146906,3151,220,Rotterdam,
147178,3155,292,Midden-Delfland,
147336,3161,253,Albrandswaard,
147579,3162,268,Albrandswaard,
147648,3171,231,Albrandswaard,
147780,3172,271,Albrandswaard,
147803,3176,279,Albrandswaard,
147837,3181,159,Rotterdam,
148121,3191,152,Rotterdam,
148329,3192,137,Rotterdam,
148550,3193,139,Rotterdam,
148705,3194,145,Rotterdam,
148855,3195,154,Rotterdam,
148999,3201,159,Spijkenisse,
149235,3202,131,Spijkenisse,
149441,3203,131,Spijkenisse,
149509,3204,142,Spijkenisse,
149657,3205,156,Spijkenisse,
149793,3206,136,Spijkenisse,
149954,3207,202,Spijkenisse,
150189,3208,149,Spijkenisse,
150310,3209,236,Spijkenisse,
150353,3211,200,Bernisse,
150420,3212,233,Bernisse,
150442,3214,223,Bernisse,
150582,3216,256,Bernisse,
150629,3218,196,Bernisse,
150708,3221,204,Hellevoetsluis,
150828,3222,186,Hellevoetsluis,
150917,3222,186,Brielle,
150935,3223,241,Hellevoetsluis,
151166,3224,162,Hellevoetsluis,
151330,3225,152,Hellevoetsluis,
151472,3227,258,Bernisse,
151500,3231,228,Brielle,
151613,3232,201,Brielle,
151790,3233,310,Westvoorne,
151994,3234,313,Westvoorne,
152019,3235,280,Westvoorne,
152210,3237,249,Brielle,
152267,3238,222,Brielle,
152328,3241,203,Goeree-Overflakkee,
152504,3243,190,Goeree-Overflakkee,
152534,3244,205,Goeree-Overflakkee,
152590,3245,193,Goeree-Overflakkee,
152751,3247,205,Goeree-Overflakkee,
152884,3248,204,Goeree-Overflakkee,
152940,3249,183,Goeree-Overflakkee,
152979,3251,207,Goeree-Overflakkee,
153070,3252,266,Goeree-Overflakkee,
153144,3253,316,Goeree-Overflakkee,
153288,3255,189,Goeree-Overflakkee,
153317,3255,189,Hellevoetsluis,
153399,3256,182,Goeree-Overflakkee,
153435,3257,173,Goeree-Overflakkee,
153514,3258,185,Goeree-Overflakkee,
153564,3261,242,Oud-Beijerland,
153749,3261,242,Meerssen,
153793,3262,211,Oud-Beijerland,
153995,3263,221,Oud-Beijerland,
154068,3264,231,Korendijk,
154158,3265,209,Korendijk,
154199,3267,222,Korendijk,
154256,3271,295,Binnenmaas,
154353,3273,238,Binnenmaas,
154406,3274,225,Binnenmaas,
154490,3281,230,Cromstrijen,
154687,3284,224,Korendijk,
154779,3286,229,Cromstrijen,
154876,3291,217,Strijen,
155060,3292,209,Strijen,
155073,3293,206,Strijen,
155084,3295,204,Binnenmaas,
155297,3297,206,Binnenmaas,
155454,3299,276,Binnenmaas,
155534,3311,174,Dordrecht,
155887,3312,158,Dordrecht,
156156,3313,113,Dordrecht,
156281,3314,126,Dordrecht,
156598,3315,188,Dordrecht,
156864,3316,244,Dordrecht,
156954,3317,115,Dordrecht,
157254,3318,134,Dordrecht,
157390,3319,245,Dordrecht,
157597,3328,166,Dordrecht,
157854,3329,426,Dordrecht,
157902,3331,155,Zwijndrecht,
157940,3331,155,Dordrecht,
158144,3332,180,Zwijndrecht,
158364,3333,139,Zwijndrecht,
158516,3334,173,Zwijndrecht,
158663,3335,206,Zwijndrecht,
158778,3336,256,Zwijndrecht,
158791,3341,200,Hendrik-Ido-Ambacht,
158951,3342,214,Hendrik-Ido-Ambacht,
159071,3343,195,Hendrik-Ido-Ambacht,
159170,3344,262,Hendrik-Ido-Ambacht,
159278,3351,189,Papendrecht,
159472,3352,195,Papendrecht,
159538,3353,168,Papendrecht,
159674,3354,179,Papendrecht,
159743,3355,205,Papendrecht,
159827,3356,235,Papendrecht,
159941,3361,210,Sliedrecht,
160098,3362,158,Sliedrecht,
160363,3363,184,Sliedrecht,
160480,3364,231,Sliedrecht,
160518,3366,268,Molenwaard,
160522,3366,268,Sliedrecht,
160536,3371,219,Hardinxveld-Giessendam,
160784,3372,220,Hardinxveld-Giessendam,
160878,3373,242,Hardinxveld-Giessendam,
160900,3381,323,Giessenlanden,
160964,3381,323,Hardinxveld-Giessendam,
160999,3401,255,IJsselstein,
161306,3402,202,IJsselstein,
161539,3403,268,IJsselstein,
161587,3404,246,IJsselstein,
161810,3405,286,Lopik,
161890,3411,255,Lopik,
162094,3412,316,Lopik,
162120,3413,221,Lopik,
162130,3415,311,Lopik,
162154,3417,265,Montfoort,
162391,3421,262,Oudewater,
162611,3425,448,Oudewater,
162626,3431,173,Nieuwegein,
162862,3432,165,Nieuwegein,
163028,3433,220,Nieuwegein,
163157,3434,200,Nieuwegein,
163383,3435,200,Nieuwegein,
163555,3436,208,Nieuwegein,
163734,3437,220,Nieuwegein,
164055,3438,221,Nieuwegein,
164314,3439,323,Nieuwegein,
164379,3441,212,Woerden,
164473,3442,212,Woerden,
164596,3443,227,Woerden,
164771,3444,480,Woerden,
164778,3445,278,Woerden,
164894,3446,300,Woerden,
165048,3448,226,Woerden,
165253,3449,276,Woerden,
165282,3451,283,Utrecht,
165536,3452,300,Utrecht,
165714,3453,259,Utrecht,
165879,3454,281,Utrecht,
166188,3455,467,Utrecht,
166210,3461,251,Montfoort,
166305,3464,396,Oudewater,
166313,3465,269,Bodegraven-Reeuwijk,
166370,3466,274,Bodegraven-Reeuwijk,
166413,3467,326,Oudewater,
166430,3471,295,Woerden,
166535,3474,282,Woerden,
166599,3481,276,Woerden,
166824,3511,288,Utrecht,
167200,3512,324,Utrecht,
167479,3513,196,Utrecht,
167621,3514,312,Utrecht,
167807,3515,252,Utrecht,
167938,3521,278,Utrecht,
168089,3522,235,Utrecht,
168329,3523,199,Utrecht,
168412,3523,199,Goeree-Overflakkee,
168557,3524,180,Utrecht,
168864,3525,209,Utrecht,
168995,3526,131,Utrecht,
169243,3527,131,Utrecht,
169494,3531,208,Utrecht,
169767,3532,215,Utrecht,
169931,3533,292,Utrecht,
170143,3534,225,Utrecht,
170184,3541,245,Utrecht,
170217,3542,288,Utrecht,
170269,3543,265,Utrecht,
170411,3544,264,Utrecht,
170689,3545,521,Utrecht,
170694,3546,628,Utrecht,
170699,3551,186,Utrecht,
170870,3552,192,Utrecht,
171031,3553,178,Utrecht,
171223,3554,182,Utrecht,
171398,3555,193,Utrecht,
171596,3561,145,Utrecht,
171843,3562,132,Utrecht,
172038,3563,141,Utrecht,
172223,3564,136,Utrecht,
172462,3566,577,Utrecht,
172472,3571,344,Utrecht,
172755,3572,323,Utrecht,
173089,3573,262,Utrecht,
173166,3581,372,Utrecht,
173490,3582,237,Utrecht,
173771,3583,434,Utrecht,
173987,3584,308,Utrecht,
174161,3585,561,Utrecht,
174174,3601,258,Stichtse Vecht,
174390,3602,359,Stichtse Vecht,
174456,3603,394,Stichtse Vecht,
174531,3604,340,Stichtse Vecht,
174579,3605,167,Stichtse Vecht,
174753,3606,210,Stichtse Vecht,
174767,3607,213,Stichtse Vecht,
175022,3608,202,Stichtse Vecht,
175086,3611,455,Stichtse Vecht,
175106,3612,480,Stichtse Vecht,
175147,3615,428,De Bilt,
175178,3621,298,Stichtse Vecht,
175487,3625,898,Wijdemeren,
175495,3626,326,Stichtse Vecht,
175516,3628,302,Stichtse Vecht,
175604,3631,606,Stichtse Vecht,
175623,3632,372,Stichtse Vecht,
175761,3633,367,Stichtse Vecht,
175800,3633,367,Wijdemeren,
175830,3634,350,Stichtse Vecht,
175847,3641,244,De Ronde Venen,
176176,3642,253,De Ronde Venen,
176251,3643,282,De Ronde Venen,
176281,3645,352,De Ronde Venen,
176480,3646,400,De Ronde Venen,
176501,3648,290,De Ronde Venen,
176663,3651,612,Nieuwkoop,
176668,3651,612,Woerden,
176674,3652,348,Nieuwkoop,
176692,3701,269,Zeist,
176882,3702,254,Zeist,
176980,3703,288,Zeist,
177146,3704,227,Zeist,
177419,3705,253,Zeist,
177678,3706,140,Zeist,
177803,3707,522,Zeist,
177984,3708,291,Zeist,
178132,3709,282,Zeist,
178142,3711,309,Zeist,
178189,3712,343,Zeist,
178261,3721,257,De Bilt,
178483,3722,369,De Bilt,
178628,3723,506,De Bilt,
178913,3731,297,De Bilt,
179077,3732,238,De Bilt,
179220,3734,356,Zeist,
179327,3735,1009,Zeist,
179380,3737,458,De Bilt,
179410,3737,458,Utrecht,
179436,3738,263,De Bilt,
179590,3739,423,De Bilt,
179633,3741,252,Baarn,
179890,3742,240,Baarn,
180139,3743,432,Baarn,
180290,3749,461,Baarn,
180307,3751,269,Bunschoten,
180505,3752,249,Bunschoten,
180801,3754,413,Bunschoten,
180818,3755,287,Eemnes,
181045,3761,326,Soest,
181190,3762,242,Soest,
181412,3763,314,Soest,
181471,3764,251,Soest,
181611,3765,196,Soest,
181728,3766,269,Soest,
181904,3768,409,Soest,
182051,3769,226,Soest,
182226,3771,261,Barneveld,
182522,3772,233,Barneveld,
182846,3773,261,Barneveld,
182919,3774,329,Barneveld,
183025,3775,454,Barneveld,
183044,3776,310,Barneveld,
183086,3781,286,Barneveld,
183339,3784,345,Barneveld,
183384,3785,347,Barneveld,
183421,3791,327,Leusden,
183482,3792,458,Barneveld,
183490,3794,340,Barneveld,
183507,3811,213,Amersfoort,
183741,3812,183,Amersfoort,
184060,3813,203,Amersfoort,
184340,3813,203,Leusden,
184397,3814,172,Amersfoort,
184539,3815,173,Amersfoort,
184843,3816,179,Amersfoort,
185146,3817,276,Amersfoort,
185443,3818,382,Amersfoort,
185722,3819,181,Amersfoort,
185730,3821,214,Amersfoort,
185761,3822,224,Amersfoort,
185914,3823,233,Amersfoort,
186156,3824,240,Amersfoort,
186430,3825,283,Amersfoort,
186641,3826,248,Amersfoort,
186712,3828,272,Amersfoort,
186974,3829,300,Amersfoort,
187081,3831,254,Leusden,
187411,3832,352,Leusden,
187550,3833,249,Leusden,
187736,3834,241,Leusden,
187815,3835,436,Leusden,
187827,3836,441,Amersfoort,
187833,3841,231,Harderwijk,
188023,3842,193,Harderwijk,
188192,3843,204,Harderwijk,
188349,3844,210,Harderwijk,
188606,3845,260,Harderwijk,
188759,3846,310,Harderwijk,
188807,3847,511,Harderwijk,
188826,3848,264,Harderwijk,
188912,3849,399,Harderwijk,
189003,3851,260,Ermelo,
189311,3852,320,Ermelo,
189500,3853,251,Ermelo,
189519,3853,251,Putten,
189750,3861,234,Nijkerk,
189998,3862,253,Nijkerk,
190081,3862,253,Putten,
190280,3863,274,Nijkerk,
190456,3864,332,Nijkerk,
190540,3871,291,Nijkerk,
190794,3881,321,Putten,
191082,3882,274,Putten,
191369,3886,376,Barneveld,
191445,3888,306,Apeldoorn,
191520,3891,202,Zeewolde,
191661,3892,228,Zeewolde,
191815,3893,242,Zeewolde,
191952,3894,245,Zeewolde,
192010,3899,289,Zeewolde,
192040,3901,156,Veenendaal,
192310,3902,208,Veenendaal,
192534,3903,237,Veenendaal,
192679,3904,230,Veenendaal,
192994,3905,191,Veenendaal,
193323,3906,253,Veenendaal,
193458,3907,264,Veenendaal,
193510,3911,237,Rhenen,
193867,3912,210,Rhenen,
193884,3921,247,Rhenen,
193965,3922,359,Rhenen,
193975,3925,262,Weststellingwerf,
193976,3925,262,Scherpenzeel,
194218,3927,281,Renswoude,
194288,3927,281,Woudenberg,
194322,3931,276,Woudenberg,
194614,3941,328,Utrechtse Heuvelrug,
194928,3945,278,Wijk bij Duurstede,
195024,3947,325,Wijk bij Duurstede,
195078,3951,333,Utrechtse Heuvelrug,
195236,3953,357,Utrechtse Heuvelrug,
195285,3956,303,Utrechtse Heuvelrug,
195502,3958,277,Utrechtse Heuvelrug,
195658,3959,382,Utrechtse Heuvelrug,
195683,3959,382,Woudenberg,
195689,3961,230,Wijk bij Duurstede,
195931,3962,254,Wijk bij Duurstede,
196128,3971,372,Utrechtse Heuvelrug,
196358,3972,277,Utrechtse Heuvelrug,
196644,3981,307,Bunnik,
196699,3981,307,Zeewolde,
196772,3981,307,Wijk bij Duurstede,
196849,3984,276,Bunnik,
197004,3985,304,Bunnik,
197067,3989,297,Vianen,
197068,3991,301,Houten,
197442,3992,264,Houten,
197606,3993,221,Houten,
197744,3994,297,Houten,
198038,3995,192,Houten,
198127,3997,343,Houten,
198143,3998,315,Houten,
198203,3999,349,Houten,
198222,4001,155,Tiel,
198540,4002,247,Tiel,
198596,4003,202,Tiel,
198786,4004,411,Tiel,
198828,4005,184,Tiel,
198961,4006,137,Tiel,
199062,4007,231,Tiel,
199245,4011,302,Buren,
199303,4012,283,Buren,
199344,4013,310,Tiel,
199363,4014,291,Tiel,
199393,4016,341,Buren,
199402,4017,634,Tiel,
199406,4021,246,Buren,
199519,4023,289,Buren,
199545,4024,288,Buren,
199590,4031,289,Buren,
199646,4032,352,Buren,
199668,4033,260,Buren,
199800,4033,260,Neder-Betuwe,
199819,4041,227,Neder-Betuwe,
199949,4043,221,Neder-Betuwe,
200067,4051,220,Neder-Betuwe,
200198,4053,229,Neder-Betuwe,
200225,4054,245,Neder-Betuwe,
200269,4061,275,Neerijnen,
200325,4062,390,Tiel,
200327,4062,390,Neerijnen,
200333,4063,278,Neerijnen,
200349,4064,270,Neerijnen,
200377,4101,227,Culemborg,
200613,4102,173,Culemborg,
200815,4103,230,Culemborg,
200865,4104,263,Culemborg,
200896,4105,236,Culemborg,
201129,4106,294,Culemborg,
201136,4107,432,Culemborg,
201155,4111,288,Buren,
201181,4112,293,Buren,
201282,4115,346,Buren,
201295,4116,261,Buren,
201397,4117,335,Buren,
201414,4119,325,Buren,
201432,4121,302,Vianen,
201463,4122,305,Vianen,
201483,4124,337,Vianen,
201516,4126,264,Zederik,
201537,4128,257,Zederik,
201608,4131,159,Vianen,
201763,4132,249,Vianen,
201901,4133,233,Vianen,
202047,4141,213,Leerdam,
202199,4142,163,Leerdam,
202352,4143,228,Leerdam,
202507,4145,265,Leerdam,
202548,4147,240,Lingewaal,
202636,4151,327,Geldermalsen,
202661,4152,279,Geldermalsen,
202687,4153,275,Geldermalsen,
202800,4155,359,Geldermalsen,
202815,4156,355,Geldermalsen,
202841,4157,302,Geldermalsen,
202864,4158,295,Geldermalsen,
202924,4161,255,Lingewaal,
202990,4163,327,Leerdam,
202996,4171,264,Lingewaal,
203077,4174,265,Neerijnen,
203112,4175,228,Neerijnen,
203194,4176,275,Neerijnen,
203219,4181,235,Neerijnen,
203290,4182,389,Neerijnen,
203306,4184,263,Neerijnen,
203347,4185,290,Neerijnen,
203367,4191,248,Geldermalsen,
203633,4194,279,Geldermalsen,
203720,4196,262,Geldermalsen,
203782,4197,303,Geldermalsen,
203790,4197,303,Buren,
203824,4201,193,Gorinchem,
204041,4202,226,Gorinchem,
204052,4203,158,Gorinchem,
204065,4204,135,Gorinchem,
204244,4205,179,Gorinchem,
204517,4206,192,Gorinchem,
204606,4207,244,Gorinchem,
204858,4208,328,Gorinchem,
204867,4209,273,Giessenlanden,
204910,4211,303,Lingewaal,
204933,4212,478,Lingewaal,
204941,4213,271,Gorinchem,
204967,4214,241,Lingewaal,
205041,4221,278,Giessenlanden,
205082,4223,273,Giessenlanden,
205125,4225,296,Giessenlanden,
205171,4231,246,Zederik,
205280,4233,217,Zederik,
205360,4235,286,Zederik,
205380,4241,220,Giessenlanden,
205500,4243,285,Zederik,
205527,4245,278,Zederik,
205564,4247,280,Leerdam,
205590,4251,219,Werkendam,
205903,4254,252,Werkendam,
206043,4255,222,Werkendam,
206145,4261,245,Aalburg,
206289,4264,239,Aalburg,
206351,4265,242,Aalburg,
206392,4266,240,Aalburg,
206414,4267,293,Aalburg,
206427,4268,231,Aalburg,
206449,4269,308,Aalburg,
206461,4271,249,Werkendam,
206542,4273,230,Werkendam,
206656,4281,245,Woudrichem,
206737,4283,220,Woudrichem,
206788,4284,230,Woudrichem,
206792,4284,230,Rijswijk,
206838,4285,233,Woudrichem,
206974,4286,251,Woudrichem,
207093,4287,268,Woudrichem,
207099,4288,319,Woudrichem,
207114,4301,181,Schouwen-Duiveland,
207461,4302,233,Schouwen-Duiveland,
207486,4303,295,Schouwen-Duiveland,
207505,4305,205,Schouwen-Duiveland,
207541,4306,211,Schouwen-Duiveland,
207633,4307,193,Schouwen-Duiveland,
207710,4308,226,Schouwen-Duiveland,
207729,4311,225,Schouwen-Duiveland,
207864,4315,225,Schouwen-Duiveland,
207911,4316,212,Schouwen-Duiveland,
207956,4317,301,Schouwen-Duiveland,
207999,4318,172,Schouwen-Duiveland,
208093,4321,235,Schouwen-Duiveland,
208142,4322,216,Schouwen-Duiveland,
208222,4323,264,Schouwen-Duiveland,
208246,4325,277,Schouwen-Duiveland,
208364,4327,230,Schouwen-Duiveland,
208380,4328,333,Schouwen-Duiveland,
208619,4331,180,Middelburg,
208915,4332,196,Middelburg,
209049,4333,217,Middelburg,
209063,4333,217,Veere,
209203,4334,186,Middelburg,
209241,4334,186,Veere,
209302,4335,147,Middelburg,
209528,4336,169,Middelburg,
209708,4337,152,Middelburg,
209949,4338,206,Middelburg,
209973,4339,173,Middelburg,
210032,4341,192,Middelburg,
210200,4351,283,Veere,
210282,4352,273,Veere,
210306,4353,234,Veere,
210345,4353,234,Schouwen-Duiveland,
210379,4354,231,Veere,
210454,4356,313,Veere,
210596,4357,335,Veere,
210702,4361,201,Veere,
210830,4363,257,Veere,
210895,4364,253,Veere,
210959,4365,231,Veere,
211006,4371,241,Veere,
211035,4371,241,Vlissingen,
211151,4373,267,Veere,
211203,4374,255,Veere,
211318,4381,126,Vlissingen,
211610,4382,149,Vlissingen,
211902,4383,133,Vlissingen,
212013,4384,174,Vlissingen,
212205,4385,153,Vlissingen,
212329,4386,209,Vlissingen,
212429,4387,222,Vlissingen,
212449,4388,140,Vlissingen,
212728,4389,222,Vlissingen,
212766,4401,199,Reimerswaal,
212973,4411,178,Reimerswaal,
213106,4413,185,Reimerswaal,
213237,4414,217,Reimerswaal,
213287,4415,228,Reimerswaal,
213302,4416,188,Reimerswaal,
213439,4417,158,Reimerswaal,
213510,4421,229,Kapelle,
213775,4423,199,Kapelle,
213794,4424,221,Kapelle,
213899,4431,197,Borsele,
214020,4433,199,Borsele,
214056,4434,214,Borsele,
214102,4435,227,Borsele,
214138,4436,234,Borsele,
214175,4437,190,Borsele,
214200,4438,231,Borsele,
214227,4441,210,Borsele,
214283,4443,255,Borsele,
214312,4444,252,Borsele,
214341,4451,220,Borsele,
214527,4453,194,Borsele,
214602,4454,186,Borsele,
214660,4455,194,Borsele,
214724,4456,200,Borsele,
214791,4458,223,Goes,
214866,4461,173,Goes,
215262,4462,194,Goes,
215483,4463,162,Goes,
215629,4464,264,Goes,
215631,4464,264,Aalburg,
215675,4465,599,Goes,
215705,4471,200,Goes,
215815,4472,248,Goes,
215849,4474,268,Goes,
215879,4475,258,Goes,
215900,4481,239,Goes,
215992,4482,300,Kapelle,
215996,4484,210,Noord-Beveland,
216108,4485,192,Noord-Beveland,
216138,4486,160,Noord-Beveland,
216214,4491,173,Noord-Beveland,
216269,4493,226,Noord-Beveland,
216427,4494,171,Noord-Beveland,
216447,4501,165,Sluis,
216641,4503,187,Sluis,
216703,4504,206,Sluis,
216760,4505,177,Sluis,
216797,4506,274,Sluis,
216880,4507,144,Sluis,
216949,4508,202,Sluis,
216986,4511,175,Sluis,
217168,4513,155,Sluis,
217205,4515,184,Sluis,
217315,4521,167,Terneuzen,
217393,4522,300,Sluis,
217419,4524,217,Sluis,
217554,4525,310,Sluis,
217602,4527,177,Sluis,
217704,4528,257,Sluis,
217736,4529,204,Sluis,
217780,4531,111,Terneuzen,
217904,4532,154,Terneuzen,
218094,4533,291,Terneuzen,
218183,4535,183,Terneuzen,
218292,4536,124,Terneuzen,
218388,4537,128,Terneuzen,
218507,4538,177,Terneuzen,
218554,4539,224,Terneuzen,
218563,4541,124,Terneuzen,
218658,4542,149,Terneuzen,
218781,4543,178,Terneuzen,
218887,4551,130,Terneuzen,
219077,4553,184,Terneuzen,
219166,4554,162,Terneuzen,
219243,4561,183,Hulst,
219609,4562,315,Hulst,
219639,4564,188,Hulst,
219739,4565,240,Hulst,
219749,4566,246,Hulst,
219786,4567,179,Hulst,
219861,4568,180,Hulst,
219909,4569,164,Hulst,
219958,4571,156,Terneuzen,
220244,4574,200,Terneuzen,
220288,4575,256,Terneuzen,
220298,4576,225,Terneuzen,
220385,4581,179,Hulst,
220418,4581,179,Terneuzen,
220450,4583,172,Hulst,
220466,4584,194,Hulst,
220479,4585,185,Hulst,
220513,4586,186,Hulst,
220533,4587,168,Hulst,
220636,4588,186,Hulst,
220658,4589,204,Hulst,
220678,4611,190,Bergen op Zoom,
220988,4613,202,Bergen op Zoom,
221080,4614,210,Bergen op Zoom,
221299,4615,168,Bergen op Zoom,
221452,4616,244,Bergen op Zoom,
221463,4617,249,Bergen op Zoom,
221580,4621,136,Bergen op Zoom,
221712,4622,261,Bergen op Zoom,
221734,4623,167,Bergen op Zoom,
221823,4624,169,Bergen op Zoom,
222006,4625,203,Bergen op Zoom,
222092,4631,215,Woensdrecht,
222355,4634,245,Woensdrecht,
222406,4635,272,Woensdrecht,
222484,4641,234,Woensdrecht,
222690,4645,214,Woensdrecht,
222830,4651,197,Steenbergen,
222873,4651,197,Halderberge,
223194,4652,271,Steenbergen,
223202,4655,217,Steenbergen,
223241,4661,239,Bergen op Zoom,
223552,4664,240,Bergen op Zoom,
223618,4671,191,Steenbergen,
223743,4671,191,Moerdijk,
223811,4675,178,Tholen,
223893,4681,193,Steenbergen,
223982,4691,206,Tholen,
224214,4693,189,Tholen,
224303,4694,180,Tholen,
224383,4695,167,Tholen,
224541,4696,161,Tholen,
224605,4697,176,Tholen,
224734,4698,189,Tholen,
224835,4701,175,Roosendaal,
225043,4702,167,Roosendaal,
225375,4703,146,Roosendaal,
225601,4704,218,Roosendaal,
225631,4705,287,Roosendaal,
225661,4706,236,Roosendaal,
225924,4707,180,Roosendaal,
226271,4708,248,Roosendaal,
226452,4709,282,Roosendaal,
226525,4711,221,Rucphen,
226762,4714,249,Rucphen,
226914,4715,242,Rucphen,
226981,4715,242,Roosendaal,
227054,4721,268,Rucphen,
227100,4722,439,Rucphen,
227109,4724,239,Roosendaal,
227233,4725,306,Roosendaal,
227287,4726,259,Roosendaal,
227345,4727,310,Roosendaal,
227368,4731,195,Halderberge,
227719,4735,227,Rucphen,
227794,4741,269,Halderberge,
227976,4744,275,Halderberge,
228054,4751,246,Halderberge,
228302,4754,194,Halderberge,
228343,4756,250,Steenbergen,
228427,4758,221,Moerdijk,
228495,4759,257,Moerdijk,
228524,4761,204,Moerdijk,
228868,4762,250,Moerdijk,
228904,4765,223,Moerdijk,
228973,4771,246,Moerdijk,
228995,4772,231,Moerdijk,
229006,4781,189,Moerdijk,
229027,4782,191,Moerdijk,
229076,4791,201,Moerdijk,
229249,4793,202,Moerdijk,
229410,4794,223,Moerdijk,
229457,4796,288,Moerdijk,
229466,4797,231,Moerdijk,
229573,4811,191,Breda,
229935,4812,162,Breda,
230159,4813,230,Breda,
230347,4814,182,Breda,
230582,4815,236,Breda,
230679,4816,151,Breda,
230789,4817,196,Breda,
231107,4818,338,Breda,
231289,4819,257,Breda,
231374,4822,184,Breda,
231529,4823,233,Breda,
231673,4824,190,Breda,
231913,4825,347,Breda,
231942,4826,144,Breda,
232130,4827,157,Breda,
232252,4834,243,Breda,
232493,4835,382,Breda,
232626,4836,557,Breda,
232662,4837,438,Breda,
232727,4838,430,Breda,
232772,4839,465,Breda,
232791,4841,309,Breda,
233056,4844,232,Drimmelen,
233221,4845,260,Drimmelen,
233275,4845,260,Breda,
233280,4847,308,Breda,
233455,4849,262,Oosterhout,
233528,4851,387,Breda,
233666,4854,349,Breda,
233856,4855,326,Alphen-Chaam,
233880,4856,398,Alphen-Chaam,
233891,4858,496,Alphen-Chaam,
233902,4859,448,Alphen-Chaam,
233905,4861,287,Alphen-Chaam,
234032,4871,243,Etten-Leur,
234327,4872,200,Etten-Leur,
234523,4873,253,Etten-Leur,
234684,4874,255,Etten-Leur,
234764,4875,211,Etten-Leur,
234807,4876,221,Etten-Leur,
234947,4877,295,Etten-Leur,
234952,4879,377,Etten-Leur,
234985,4881,243,Zundert,
235193,4882,327,Zundert,
235255,4884,293,Zundert,
235313,4885,307,Zundert,
235379,4891,314,Zundert,
235553,4901,198,Oosterhout,
235829,4902,199,Oosterhout,
236045,4903,265,Oosterhout,
236066,4904,221,Oosterhout,
236325,4905,221,Oosterhout,
236358,4906,255,Oosterhout,
236443,4907,201,Oosterhout,
236670,4908,214,Oosterhout,
236736,4909,331,Oosterhout,
236774,4911,374,Oosterhout,
236819,4921,231,Drimmelen,
237123,4924,317,Drimmelen,
237157,4926,225,Drimmelen,
237279,4927,247,Drimmelen,
237332,4931,186,Geertruidenberg,
237529,4941,208,Geertruidenberg,
237787,4942,215,Geertruidenberg,
237875,4944,255,Geertruidenberg,
237940,5011,149,Tilburg,
238174,5012,188,Tilburg,
238283,5013,163,Tilburg,
238313,5014,155,Tilburg,
238544,5015,306,Tilburg,
238583,5017,217,Tilburg,
238711,5018,230,Tilburg,
238800,5021,148,Tilburg,
239060,5022,161,Tilburg,
239256,5025,138,Tilburg,
239548,5026,448,Tilburg,
239578,5032,333,Tilburg,
239755,5035,219,Tilburg,
