,gemeente,postcode,gemiddelde_woz_waarde_woning,gemiddelde_woz_waarde_gemeente,klasse_woz
115,Haarlemmermeer,2141,325,280.0740740740741,Hoog
116,Haarlemmermeer,2142,379,280.0740740740741,Hoog
117,Haarlemmermeer,2143,215,280.0740740740741,Hoog
118,Haarlemmermeer,2144,268,280.0740740740741,Hoog
119,Haarlemmermeer,2151,255,280.0740740740741,Hoog
120,Haarlemmermeer,2152,271,280.0740740740741,Hoog
121,Haarlemmermeer,2153,237,280.0740740740741,Hoog
122,Haarlemmermeer,2154,312,280.0740740740741,Hoog
123,Haarlemmermeer,2155,410,280.0740740740741,Hoog
124,Haarlemmermeer,2156,288,280.0740740740741,Hoog
125,Haarlemmermeer,2157,261,280.0740740740741,Hoog
126,Haarlemmermeer,2158,301,280.0740740740741,Hoog
127,Haarlemmermeer,2165,268,280.0740740740741,Hoog
128,Amstelveen,1181,380,338.54545454545456,Hoog
129,Amstelveen,1182,428,338.54545454545456,Hoog
130,Amstelveen,1183,275,338.54545454545456,Hoog
131,Amstelveen,1184,636,338.54545454545456,Hoog
132,Amstelveen,1185,263,338.54545454545456,Hoog
133,Amstelveen,1186,252,338.54545454545456,Hoog
134,Amstelveen,1187,335,338.54545454545456,Hoog
135,Amstelveen,1188,269,338.54545454545456,Hoog
136,Amstelveen,1189,336,338.54545454545456,Hoog
137,Amstelveen,1422,217,338.54545454545456,Hoog
138,Amstelveen,1432,333,338.54545454545456,Hoog
139,Hilversum,1211,190,276.3636363636364,Hoog
140,Hilversum,1212,160,276.3636363636364,Hoog
141,Hilversum,1213,535,276.3636363636364,Hoog
142,Hilversum,1214,241,276.3636363636364,Hoog
143,Hilversum,1215,275,276.3636363636364,Hoog
144,Hilversum,1216,204,276.3636363636364,Hoog
145,Hilversum,1217,572,276.3636363636364,Hoog
146,Hilversum,1218,255,276.3636363636364,Hoog
147,Hilversum,1221,185,276.3636363636364,Hoog
148,Hilversum,1222,199,276.3636363636364,Hoog
149,Hilversum,1223,224,276.3636363636364,Hoog
150,Bussum,1222,199,370.57142857142856,Hoog
151,Bussum,1401,465,370.57142857142856,Hoog
152,Bussum,1402,297,370.57142857142856,Hoog
153,Bussum,1403,207,370.57142857142856,Hoog
154,Bussum,1404,271,370.57142857142856,Hoog
155,Bussum,1405,652,370.57142857142856,Hoog
156,Bussum,1406,503,370.57142857142856,Hoog
157,Wijdemeren,1231,370,409.57142857142856,Hoog
158,Wijdemeren,1241,285,409.57142857142856,Hoog
159,Wijdemeren,1243,326,409.57142857142856,Hoog
160,Wijdemeren,1244,315,409.57142857142856,Hoog
161,Wijdemeren,1394,306,409.57142857142856,Hoog
162,Wijdemeren,3625,898,409.57142857142856,Hoog
163,Wijdemeren,3633,367,409.57142857142856,Hoog
164,Laren,1251,562,550.0,Hoog
165,Laren,1252,538,550.0,Hoog
166,Blaricum,1251,562,550.0,Hoog
167,Blaricum,1261,538,550.0,Hoog
168,Huizen,1271,273,277.2857142857143,Hoog
169,Huizen,1272,553,277.2857142857143,Hoog
170,Huizen,1273,209,277.2857142857143,Hoog
171,Huizen,1274,183,277.2857142857143,Hoog
172,Huizen,1275,202,277.2857142857143,Hoog
173,Huizen,1276,204,277.2857142857143,Hoog
174,Huizen,1277,317,277.2857142857143,Hoog
175,Almere,1309,354,233.27777777777777,Middel
176,Almere,1311,174,233.27777777777777,Middel
177,Almere,1312,188,233.27777777777777,Middel
178,Almere,1313,175,233.27777777777777,Middel
179,Almere,1314,137,233.27777777777777,Middel
180,Almere,1315,154,233.27777777777777,Middel
181,Almere,1316,219,233.27777777777777,Middel
182,Almere,1317,153,233.27777777777777,Middel
183,Almere,1318,187,233.27777777777777,Middel
184,Almere,1319,290,233.27777777777777,Middel
185,Almere,1321,214,233.27777777777777,Middel
186,Almere,1323,165,233.27777777777777,Middel
187,Almere,1324,147,233.27777777777777,Middel
188,Almere,1325,190,233.27777777777777,Middel
189,Almere,1326,186,233.27777777777777,Middel
190,Almere,1328,204,233.27777777777777,Middel
191,Almere,1333,158,233.27777777777777,Middel
192,Almere,1334,132,233.27777777777777,Middel
193,Almere,1335,194,233.27777777777777,Middel
194,Almere,1336,218,233.27777777777777,Middel
195,Almere,1338,170,233.27777777777777,Middel
196,Almere,1339,190,233.27777777777777,Middel
197,Almere,1341,212,233.27777777777777,Middel
198,Almere,1343,464,233.27777777777777,Middel
199,Almere,1349,502,233.27777777777777,Middel
200,Almere,1351,204,233.27777777777777,Middel
201,Almere,1352,176,233.27777777777777,Middel
202,Almere,1353,142,233.27777777777777,Middel
203,Almere,1354,140,233.27777777777777,Middel
204,Almere,1355,162,233.27777777777777,Middel
205,Almere,1356,178,233.27777777777777,Middel
206,Almere,1357,165,233.27777777777777,Middel
207,Almere,1358,894,233.27777777777777,Middel
208,Almere,1359,328,233.27777777777777,Middel
209,Almere,1361,424,233.27777777777777,Middel
210,Almere,1363,208,233.27777777777777,Middel
211,Weesp,1381,288,238.33333333333334,Middel-Hoog
212,Weesp,1382,200,238.33333333333334,Middel-Hoog
213,Weesp,1383,227,238.33333333333334,Middel-Hoog
214,De Ronde Venen,1391,411,335.4,Hoog
215,De Ronde Venen,1396,417,335.4,Hoog
216,De Ronde Venen,1426,408,335.4,Hoog
217,De Ronde Venen,1427,297,335.4,Hoog
218,De Ronde Venen,3641,244,335.4,Hoog
219,De Ronde Venen,3642,253,335.4,Hoog
220,De Ronde Venen,3643,282,335.4,Hoog
221,De Ronde Venen,3645,352,335.4,Hoog
222,De Ronde Venen,3646,400,335.4,Hoog
223,De Ronde Venen,3648,290,335.4,Hoog
224,Stichtse Vecht,1393,347,335.8888888888889,Hoog
225,Stichtse Vecht,3601,258,335.8888888888889,Hoog
226,Stichtse Vecht,3602,359,335.8888888888889,Hoog
227,Stichtse Vecht,3603,394,335.8888888888889,Hoog
228,Stichtse Vecht,3604,340,335.8888888888889,Hoog
229,Stichtse Vecht,3605,167,335.8888888888889,Hoog
230,Stichtse Vecht,3606,210,335.8888888888889,Hoog
231,Stichtse Vecht,3607,213,335.8888888888889,Hoog
232,Stichtse Vecht,3608,202,335.8888888888889,Hoog
233,Stichtse Vecht,3611,455,335.8888888888889,Hoog
234,Stichtse Vecht,3612,480,335.8888888888889,Hoog
235,Stichtse Vecht,3621,298,335.8888888888889,Hoog
236,Stichtse Vecht,3626,326,335.8888888888889,Hoog
237,Stichtse Vecht,3628,302,335.8888888888889,Hoog
238,Stichtse Vecht,3631,606,335.8888888888889,Hoog
239,Stichtse Vecht,3632,372,335.8888888888889,Hoog
240,Stichtse Vecht,3633,367,335.8888888888889,Hoog
241,Stichtse Vecht,3634,350,335.8888888888889,Hoog
242,Muiden,1398,269,307.0,Hoog
243,Muiden,1399,345,307.0,Hoog
244,Naarden,1411,361,393.5,Hoog
245,Naarden,1412,426,393.5,Hoog
246,Uithoorn,1421,227,251.5,Middel-Hoog
247,Uithoorn,1422,217,251.5,Middel-Hoog
248,Uithoorn,1423,277,251.5,Middel-Hoog
249,Uithoorn,1424,285,251.5,Middel-Hoog
250,Aalsmeer,1424,285,291.8,Hoog
251,Aalsmeer,1431,283,291.8,Hoog
252,Aalsmeer,1432,333,291.8,Hoog
253,Aalsmeer,1433,273,291.8,Hoog
254,Aalsmeer,1436,285,291.8,Hoog
255,Nieuwkoop,1428,332,333.44444444444446,Hoog
256,Nieuwkoop,2421,264,333.44444444444446,Hoog
257,Nieuwkoop,2431,308,333.44444444444446,Hoog
258,Nieuwkoop,2432,353,333.44444444444446,Hoog
259,Nieuwkoop,2435,264,333.44444444444446,Hoog
260,Nieuwkoop,2441,254,333.44444444444446,Hoog
261,Nieuwkoop,2461,266,333.44444444444446,Hoog
262,Nieuwkoop,3651,612,333.44444444444446,Hoog
263,Nieuwkoop,3652,348,333.44444444444446,Hoog
264,Kaag en Braassem,1431,283,284.6363636363636,Hoog
265,Kaag en Braassem,2159,367,284.6363636363636,Hoog
266,Kaag en Braassem,2355,280,284.6363636363636,Hoog
267,Kaag en Braassem,2371,260,284.6363636363636,Hoog
268,Kaag en Braassem,2374,311,284.6363636363636,Hoog
269,Kaag en Braassem,2375,266,284.6363636363636,Hoog
270,Kaag en Braassem,2376,299,284.6363636363636,Hoog
271,Kaag en Braassem,2377,229,284.6363636363636,Hoog
272,Kaag en Braassem,2451,261,284.6363636363636,Hoog
273,Kaag en Braassem,2465,297,284.6363636363636,Hoog
274,Kaag en Braassem,2481,278,284.6363636363636,Hoog
275,Purmerend,1441,187,205.55555555555554,Middel
276,Purmerend,1442,156,205.55555555555554,Middel
277,Purmerend,1443,148,205.55555555555554,Middel
278,Purmerend,1444,171,205.55555555555554,Middel
279,Purmerend,1445,161,205.55555555555554,Middel
280,Purmerend,1446,178,205.55555555555554,Middel
281,Purmerend,1447,223,205.55555555555554,Middel
282,Purmerend,1448,242,205.55555555555554,Middel
283,Purmerend,1481,384,205.55555555555554,Middel
284,Wormerland,1456,317,301.2,Hoog
285,Wormerland,1458,393,301.2,Hoog
286,Wormerland,1531,206,301.2,Hoog
287,Wormerland,1534,285,301.2,Hoog
288,Wormerland,1546,305,301.2,Hoog
289,Beemster,1461,322,354.0,Hoog
290,Beemster,1462,268,354.0,Hoog
291,Beemster,1463,438,354.0,Hoog
292,Beemster,1464,388,354.0,Hoog
293,Zeevang,1471,306,316.2857142857143,Hoog
294,Zeevang,1472,327,316.2857142857143,Hoog
295,Zeevang,1473,350,316.2857142857143,Hoog
296,Zeevang,1474,228,316.2857142857143,Hoog
297,Zeevang,1475,276,316.2857142857143,Hoog
298,Zeevang,1476,407,316.2857142857143,Hoog
299,Zeevang,1477,320,316.2857142857143,Hoog
300,Graft-De Rijp,1483,229,308.14285714285717,Hoog
301,Graft-De Rijp,1484,270,308.14285714285717,Hoog
302,Graft-De Rijp,1485,487,308.14285714285717,Hoog
303,Graft-De Rijp,1486,255,308.14285714285717,Hoog
304,Graft-De Rijp,1487,252,308.14285714285717,Hoog
305,Graft-De Rijp,1488,374,308.14285714285717,Hoog
306,Graft-De Rijp,1536,290,308.14285714285717,Hoog
307,Schermer,1483,229,286.1111111111111,Hoog
308,Schermer,1636,206,286.1111111111111,Hoog
309,Schermer,1646,369,286.1111111111111,Hoog
310,Schermer,1841,223,286.1111111111111,Hoog
311,Schermer,1842,298,286.1111111111111,Hoog
312,Schermer,1843,297,286.1111111111111,Hoog
313,Schermer,1844,356,286.1111111111111,Hoog
314,Schermer,1846,277,286.1111111111111,Hoog
315,Schermer,1847,320,286.1111111111111,Hoog
316,Castricum,1489,414,299.6,Hoog
317,Castricum,1901,256,299.6,Hoog
318,Castricum,1902,253,299.6,Hoog
319,Castricum,1906,309,299.6,Hoog
320,Castricum,1921,266,299.6,Hoog
321,Zaanstad,1501,155,189.26315789473685,Laag
322,Zaanstad,1502,159,189.26315789473685,Laag
323,Zaanstad,1503,148,189.26315789473685,Laag
324,Zaanstad,1504,136,189.26315789473685,Laag
325,Zaanstad,1505,154,189.26315789473685,Laag
326,Zaanstad,1506,186,189.26315789473685,Laag
327,Zaanstad,1507,205,189.26315789473685,Laag
328,Zaanstad,1508,138,189.26315789473685,Laag
329,Zaanstad,1509,192,189.26315789473685,Laag
330,Zaanstad,1521,155,189.26315789473685,Laag
331,Zaanstad,1525,240,189.26315789473685,Laag
332,Zaanstad,1541,197,189.26315789473685,Laag
333,Zaanstad,1544,189,189.26315789473685,Laag
334,Zaanstad,1551,250,189.26315789473685,Laag
335,Zaanstad,1561,162,189.26315789473685,Laag
336,Zaanstad,1562,212,189.26315789473685,Laag
337,Zaanstad,1566,227,189.26315789473685,Laag
338,Zaanstad,1567,255,189.26315789473685,Laag
339,Zaanstad,1607,236,189.26315789473685,Laag
340,Oostzaan,1511,271,271.0,Hoog
341,Enkhuizen,1601,194,181.5,Laag
342,Enkhuizen,1602,169,181.5,Laag
343,Drechterland,1606,218,254.0,Middel-Hoog
344,Drechterland,1607,236,254.0,Middel-Hoog
345,Drechterland,1608,278,254.0,Middel-Hoog
346,Drechterland,1609,296,254.0,Middel-Hoog
347,Drechterland,1616,215,254.0,Middel-Hoog
348,Drechterland,1617,232,254.0,Middel-Hoog
349,Drechterland,1696,252,254.0,Middel-Hoog
350,Drechterland,1697,305,254.0,Middel-Hoog
351,Stede Broec,1611,191,199.0,Laag
352,Stede Broec,1613,189,199.0,Laag
353,Stede Broec,1614,201,199.0,Laag
354,Stede Broec,1616,215,199.0,Laag
355,Medemblik,1619,202,251.76190476190476,Middel-Hoog
356,Medemblik,1654,259,251.76190476190476,Middel-Hoog
357,Medemblik,1655,220,251.76190476190476,Middel-Hoog
358,Medemblik,1657,214,251.76190476190476,Middel-Hoog
359,Medemblik,1658,281,251.76190476190476,Middel-Hoog
360,Medemblik,1671,187,251.76190476190476,Middel-Hoog
361,Medemblik,1674,220,251.76190476190476,Middel-Hoog
362,Medemblik,1676,252,251.76190476190476,Middel-Hoog
363,Medemblik,1678,254,251.76190476190476,Middel-Hoog
364,Medemblik,1679,201,251.76190476190476,Middel-Hoog
365,Medemblik,1681,310,251.76190476190476,Middel-Hoog
366,Medemblik,1682,312,251.76190476190476,Middel-Hoog
367,Medemblik,1683,277,251.76190476190476,Middel-Hoog
368,Medemblik,1684,234,251.76190476190476,Middel-Hoog
369,Medemblik,1685,254,251.76190476190476,Middel-Hoog
370,Medemblik,1686,306,251.76190476190476,Middel-Hoog
371,Medemblik,1687,258,251.76190476190476,Middel-Hoog
372,Medemblik,1688,225,251.76190476190476,Middel-Hoog
373,Medemblik,1691,273,251.76190476190476,Middel-Hoog
374,Medemblik,1692,335,251.76190476190476,Middel-Hoog
375,Medemblik,1693,213,251.76190476190476,Middel-Hoog
376,Hoorn,1621,224,213.77777777777777,Middel
377,Hoorn,1622,146,213.77777777777777,Middel
378,Hoorn,1623,219,213.77777777777777,Middel
379,Hoorn,1624,189,213.77777777777777,Middel
380,Hoorn,1625,175,213.77777777777777,Middel
381,Hoorn,1628,174,213.77777777777777,Middel
382,Hoorn,1689,185,213.77777777777777,Middel
383,Hoorn,1695,236,213.77777777777777,Middel
384,Hoorn,8896,376,213.77777777777777,Middel
385,Koggenland,1631,283,250.6153846153846,Middel-Hoog
386,Koggenland,1633,231,250.6153846153846,Middel-Hoog
387,Koggenland,1634,215,250.6153846153846,Middel-Hoog
388,Koggenland,1641,214,250.6153846153846,Middel-Hoog
389,Koggenland,1642,277,250.6153846153846,Middel-Hoog
390,Koggenland,1643,325,250.6153846153846,Middel-Hoog
391,Koggenland,1645,231,250.6153846153846,Middel-Hoog
392,Koggenland,1647,262,250.6153846153846,Middel-Hoog
393,Koggenland,1648,217,250.6153846153846,Middel-Hoog
394,Koggenland,1652,277,250.6153846153846,Middel-Hoog
