"Bedrijfstakken/branches SBI 2008";"Perioden";"Regio's";"Vestigingen (aantal)"
"N Verhuur en overige zakelijke diensten";"2017";"Leiden";485
"N Verhuur en overige zakelijke diensten";"2018";"Leiden";525
"N Verhuur en overige zakelijke diensten";"2013";"Lelystad";295
"N Verhuur en overige zakelijke diensten";"2014";"Lelystad";290
"N Verhuur en overige zakelijke diensten";"2015";"Lelystad";330
"N Verhuur en overige zakelijke diensten";"2016";"Lelystad";340
"N Verhuur en overige zakelijke diensten";"2017";"Lelystad";350
"N Verhuur en overige zakelijke diensten";"2018";"Lelystad";370
"N Verhuur en overige zakelijke diensten";"2013";"Maastricht";350
"N Verhuur en overige zakelijke diensten";"2014";"Maastricht";350
"N Verhuur en overige zakelijke diensten";"2015";"Maastricht";345
"N Verhuur en overige zakelijke diensten";"2016";"Maastricht";370
"N Verhuur en overige zakelijke diensten";"2017";"Maastricht";370
"N Verhuur en overige zakelijke diensten";"2018";"Maastricht";380
"N Verhuur en overige zakelijke diensten";"2013";"Middelburg (Z.)";135
"N Verhuur en overige zakelijke diensten";"2014";"Middelburg (Z.)";130
"N Verhuur en overige zakelijke diensten";"2015";"Middelburg (Z.)";145
"N Verhuur en overige zakelijke diensten";"2016";"Middelburg (Z.)";145
"N Verhuur en overige zakelijke diensten";"2017";"Middelburg (Z.)";145
"N Verhuur en overige zakelijke diensten";"2018";"Middelburg (Z.)";160
"N Verhuur en overige zakelijke diensten";"2013";"Rotterdam";2515
"N Verhuur en overige zakelijke diensten";"2014";"Rotterdam";2555
"N Verhuur en overige zakelijke diensten";"2015";"Rotterdam";2535
"N Verhuur en overige zakelijke diensten";"2016";"Rotterdam";2640
"N Verhuur en overige zakelijke diensten";"2017";"Rotterdam";2745
"N Verhuur en overige zakelijke diensten";"2018";"Rotterdam";2910
"N Verhuur en overige zakelijke diensten";"2013";"Tilburg";610
"N Verhuur en overige zakelijke diensten";"2014";"Tilburg";595
"N Verhuur en overige zakelijke diensten";"2015";"Tilburg";625
"N Verhuur en overige zakelijke diensten";"2016";"Tilburg";630
"N Verhuur en overige zakelijke diensten";"2017";"Tilburg";670
"N Verhuur en overige zakelijke diensten";"2018";"Tilburg";700
"N Verhuur en overige zakelijke diensten";"2013";"Utrecht (gemeente)";1485
"N Verhuur en overige zakelijke diensten";"2014";"Utrecht (gemeente)";1470
"N Verhuur en overige zakelijke diensten";"2015";"Utrecht (gemeente)";1545
"N Verhuur en overige zakelijke diensten";"2016";"Utrecht (gemeente)";1490
"N Verhuur en overige zakelijke diensten";"2017";"Utrecht (gemeente)";1495
"N Verhuur en overige zakelijke diensten";"2018";"Utrecht (gemeente)";1610
"N Verhuur en overige zakelijke diensten";"2013";"Zwolle";430
"N Verhuur en overige zakelijke diensten";"2014";"Zwolle";425
"N Verhuur en overige zakelijke diensten";"2015";"Zwolle";440
"N Verhuur en overige zakelijke diensten";"2016";"Zwolle";445
"N Verhuur en overige zakelijke diensten";"2017";"Zwolle";470
"N Verhuur en overige zakelijke diensten";"2018";"Zwolle";505
"R Cultuur, sport en recreatie";"2013";"Amsterdam";13945
"R Cultuur, sport en recreatie";"2014";"Amsterdam";14465
"R Cultuur, sport en recreatie";"2015";"Amsterdam";15690
"R Cultuur, sport en recreatie";"2016";"Amsterdam";16625
"R Cultuur, sport en recreatie";"2017";"Amsterdam";17395
"R Cultuur, sport en recreatie";"2018";"Amsterdam";18425
"R Cultuur, sport en recreatie";"2013";"Arnhem";1170
"R Cultuur, sport en recreatie";"2014";"Arnhem";1205
"R Cultuur, sport en recreatie";"2015";"Arnhem";1270
"R Cultuur, sport en recreatie";"2016";"Arnhem";1365
"R Cultuur, sport en recreatie";"2017";"Arnhem";1410
"R Cultuur, sport en recreatie";"2018";"Arnhem";1480
"R Cultuur, sport en recreatie";"2013";"Assen";225
"R Cultuur, sport en recreatie";"2014";"Assen";235
"R Cultuur, sport en recreatie";"2015";"Assen";250
"R Cultuur, sport en recreatie";"2016";"Assen";255
"R Cultuur, sport en recreatie";"2017";"Assen";260
"R Cultuur, sport en recreatie";"2018";"Assen";280
"R Cultuur, sport en recreatie";"2013";"Breda";960
"R Cultuur, sport en recreatie";"2014";"Breda";980
"R Cultuur, sport en recreatie";"2015";"Breda";1050
"R Cultuur, sport en recreatie";"2016";"Breda";1090
"R Cultuur, sport en recreatie";"2017";"Breda";1155
"R Cultuur, sport en recreatie";"2018";"Breda";1220
"R Cultuur, sport en recreatie";"2013";"Eindhoven";1175
"R Cultuur, sport en recreatie";"2014";"Eindhoven";1215
"R Cultuur, sport en recreatie";"2015";"Eindhoven";1325
"R Cultuur, sport en recreatie";"2016";"Eindhoven";1360
"R Cultuur, sport en recreatie";"2017";"Eindhoven";1410
"R Cultuur, sport en recreatie";"2018";"Eindhoven";1500
"R Cultuur, sport en recreatie";"2013";"Enschede";660
"R Cultuur, sport en recreatie";"2014";"Enschede";670
"R Cultuur, sport en recreatie";"2015";"Enschede";685
"R Cultuur, sport en recreatie";"2016";"Enschede";715
"R Cultuur, sport en recreatie";"2017";"Enschede";765
"R Cultuur, sport en recreatie";"2018";"Enschede";800
"R Cultuur, sport en recreatie";"2013";"'s-Gravenhage (gemeente)";3075
"R Cultuur, sport en recreatie";"2014";"'s-Gravenhage (gemeente)";3175
"R Cultuur, sport en recreatie";"2015";"'s-Gravenhage (gemeente)";3380
"R Cultuur, sport en recreatie";"2016";"'s-Gravenhage (gemeente)";3605
"R Cultuur, sport en recreatie";"2017";"'s-Gravenhage (gemeente)";3780
"R Cultuur, sport en recreatie";"2018";"'s-Gravenhage (gemeente)";4110
"R Cultuur, sport en recreatie";"2013";"Groningen (gemeente)";1595
"R Cultuur, sport en recreatie";"2014";"Groningen (gemeente)";1650
"R Cultuur, sport en recreatie";"2015";"Groningen (gemeente)";1720
"R Cultuur, sport en recreatie";"2016";"Groningen (gemeente)";1830
"R Cultuur, sport en recreatie";"2017";"Groningen (gemeente)";1910
"R Cultuur, sport en recreatie";"2018";"Groningen (gemeente)";2060
"R Cultuur, sport en recreatie";"2013";"Haarlem";1205
"R Cultuur, sport en recreatie";"2014";"Haarlem";1270
"R Cultuur, sport en recreatie";"2015";"Haarlem";1380
"R Cultuur, sport en recreatie";"2016";"Haarlem";1530
"R Cultuur, sport en recreatie";"2017";"Haarlem";1625
"R Cultuur, sport en recreatie";"2018";"Haarlem";1745
"R Cultuur, sport en recreatie";"2013";"'s-Hertogenbosch";1015
"R Cultuur, sport en recreatie";"2014";"'s-Hertogenbosch";1065
"R Cultuur, sport en recreatie";"2015";"'s-Hertogenbosch";1125
"R Cultuur, sport en recreatie";"2016";"'s-Hertogenbosch";1145
"R Cultuur, sport en recreatie";"2017";"'s-Hertogenbosch";1165
"R Cultuur, sport en recreatie";"2018";"'s-Hertogenbosch";1220
"R Cultuur, sport en recreatie";"2013";"Leeuwarden";510
"R Cultuur, sport en recreatie";"2014";"Leeuwarden";605
"R Cultuur, sport en recreatie";"2015";"Leeuwarden";655
"R Cultuur, sport en recreatie";"2016";"Leeuwarden";675
"R Cultuur, sport en recreatie";"2017";"Leeuwarden";710
"R Cultuur, sport en recreatie";"2018";"Leeuwarden";835
"R Cultuur, sport en recreatie";"2013";"Leiden";725
"R Cultuur, sport en recreatie";"2014";"Leiden";755
"R Cultuur, sport en recreatie";"2015";"Leiden";815
"R Cultuur, sport en recreatie";"2016";"Leiden";855
"R Cultuur, sport en recreatie";"2017";"Leiden";890
"R Cultuur, sport en recreatie";"2018";"Leiden";995
"R Cultuur, sport en recreatie";"2013";"Lelystad";250
"R Cultuur, sport en recreatie";"2014";"Lelystad";255
"R Cultuur, sport en recreatie";"2015";"Lelystad";265
"R Cultuur, sport en recreatie";"2016";"Lelystad";290
"R Cultuur, sport en recreatie";"2017";"Lelystad";300
"R Cultuur, sport en recreatie";"2018";"Lelystad";320
"R Cultuur, sport en recreatie";"2013";"Maastricht";705
"R Cultuur, sport en recreatie";"2014";"Maastricht";725
"R Cultuur, sport en recreatie";"2015";"Maastricht";770
"R Cultuur, sport en recreatie";"2016";"Maastricht";815
"R Cultuur, sport en recreatie";"2017";"Maastricht";845
"R Cultuur, sport en recreatie";"2018";"Maastricht";875
"R Cultuur, sport en recreatie";"2013";"Middelburg (Z.)";240
"R Cultuur, sport en recreatie";"2014";"Middelburg (Z.)";240
"R Cultuur, sport en recreatie";"2015";"Middelburg (Z.)";245
"R Cultuur, sport en recreatie";"2016";"Middelburg (Z.)";245
"R Cultuur, sport en recreatie";"2017";"Middelburg (Z.)";250
"R Cultuur, sport en recreatie";"2018";"Middelburg (Z.)";255
"R Cultuur, sport en recreatie";"2013";"Rotterdam";4265
"R Cultuur, sport en recreatie";"2014";"Rotterdam";4285
"R Cultuur, sport en recreatie";"2015";"Rotterdam";4580
"R Cultuur, sport en recreatie";"2016";"Rotterdam";4850
"R Cultuur, sport en recreatie";"2017";"Rotterdam";5115
"R Cultuur, sport en recreatie";"2018";"Rotterdam";5440
"R Cultuur, sport en recreatie";"2013";"Tilburg";1390
"R Cultuur, sport en recreatie";"2014";"Tilburg";1450
"R Cultuur, sport en recreatie";"2015";"Tilburg";1505
"R Cultuur, sport en recreatie";"2016";"Tilburg";1520
"R Cultuur, sport en recreatie";"2017";"Tilburg";1530
"R Cultuur, sport en recreatie";"2018";"Tilburg";1610
"R Cultuur, sport en recreatie";"2013";"Utrecht (gemeente)";3295
"R Cultuur, sport en recreatie";"2014";"Utrecht (gemeente)";3475
"R Cultuur, sport en recreatie";"2015";"Utrecht (gemeente)";3800
"R Cultuur, sport en recreatie";"2016";"Utrecht (gemeente)";4035
"R Cultuur, sport en recreatie";"2017";"Utrecht (gemeente)";4230
"R Cultuur, sport en recreatie";"2018";"Utrecht (gemeente)";4455
"R Cultuur, sport en recreatie";"2013";"Zwolle";685
"R Cultuur, sport en recreatie";"2014";"Zwolle";735
"R Cultuur, sport en recreatie";"2015";"Zwolle";760
"R Cultuur, sport en recreatie";"2016";"Zwolle";800
"R Cultuur, sport en recreatie";"2017";"Zwolle";835
"R Cultuur, sport en recreatie";"2018";"Zwolle";920
"S Overige dienstverlening";"2013";"Amsterdam";4855
"S Overige dienstverlening";"2014";"Amsterdam";5040
"S Overige dienstverlening";"2015";"Amsterdam";5155
"S Overige dienstverlening";"2016";"Amsterdam";5300
"S Overige dienstverlening";"2017";"Amsterdam";5575
"S Overige dienstverlening";"2018";"Amsterdam";5935
"S Overige dienstverlening";"2013";"Arnhem";745
"S Overige dienstverlening";"2014";"Arnhem";775
"S Overige dienstverlening";"2015";"Arnhem";805
"S Overige dienstverlening";"2016";"Arnhem";840
"S Overige dienstverlening";"2017";"Arnhem";885
"S Overige dienstverlening";"2018";"Arnhem";915
"S Overige dienstverlening";"2013";"Assen";305
"S Overige dienstverlening";"2014";"Assen";320
"S Overige dienstverlening";"2015";"Assen";345
"S Overige dienstverlening";"2016";"Assen";365
"S Overige dienstverlening";"2017";"Assen";390
"S Overige dienstverlening";"2018";"Assen";400
"S Overige dienstverlening";"2013";"Breda";850
"S Overige dienstverlening";"2014";"Breda";870
"S Overige dienstverlening";"2015";"Breda";900
"S Overige dienstverlening";"2016";"Breda";925
"S Overige dienstverlening";"2017";"Breda";945
"S Overige dienstverlening";"2018";"Breda";1005
"S Overige dienstverlening";"2013";"Eindhoven";1065
"S Overige dienstverlening";"2014";"Eindhoven";1080
"S Overige dienstverlening";"2015";"Eindhoven";1130
"S Overige dienstverlening";"2016";"Eindhoven";1180
"S Overige dienstverlening";"2017";"Eindhoven";1270
"S Overige dienstverlening";"2018";"Eindhoven";1360
"S Overige dienstverlening";"2013";"Enschede";705
"S Overige dienstverlening";"2014";"Enschede";720
"S Overige dienstverlening";"2015";"Enschede";725
"S Overige dienstverlening";"2016";"Enschede";760
"S Overige dienstverlening";"2017";"Enschede";790
"S Overige dienstverlening";"2018";"Enschede";800
"S Overige dienstverlening";"2013";"'s-Gravenhage (gemeente)";2695
"S Overige dienstverlening";"2014";"'s-Gravenhage (gemeente)";2780
"S Overige dienstverlening";"2015";"'s-Gravenhage (gemeente)";3000
"S Overige dienstverlening";"2016";"'s-Gravenhage (gemeente)";3105
"S Overige dienstverlening";"2017";"'s-Gravenhage (gemeente)";3170
"S Overige dienstverlening";"2018";"'s-Gravenhage (gemeente)";3390
"S Overige dienstverlening";"2013";"Groningen (gemeente)";845
"S Overige dienstverlening";"2014";"Groningen (gemeente)";840
"S Overige dienstverlening";"2015";"Groningen (gemeente)";875
"S Overige dienstverlening";"2016";"Groningen (gemeente)";895
"S Overige dienstverlening";"2017";"Groningen (gemeente)";980
"S Overige dienstverlening";"2018";"Groningen (gemeente)";1055
"S Overige dienstverlening";"2013";"Haarlem";785
"S Overige dienstverlening";"2014";"Haarlem";825
"S Overige dienstverlening";"2015";"Haarlem";885
"S Overige dienstverlening";"2016";"Haarlem";920
"S Overige dienstverlening";"2017";"Haarlem";945
"S Overige dienstverlening";"2018";"Haarlem";990
"S Overige dienstverlening";"2013";"'s-Hertogenbosch";795
"S Overige dienstverlening";"2014";"'s-Hertogenbosch";815
"S Overige dienstverlening";"2015";"'s-Hertogenbosch";865
"S Overige dienstverlening";"2016";"'s-Hertogenbosch";920
"S Overige dienstverlening";"2017";"'s-Hertogenbosch";955
"S Overige dienstverlening";"2018";"'s-Hertogenbosch";1015
"S Overige dienstverlening";"2013";"Leeuwarden";485
"S Overige dienstverlening";"2014";"Leeuwarden";535
"S Overige dienstverlening";"2015";"Leeuwarden";540
"S Overige dienstverlening";"2016";"Leeuwarden";575
"S Overige dienstverlening";"2017";"Leeuwarden";625
"S Overige dienstverlening";"2018";"Leeuwarden";715
"S Overige dienstverlening";"2013";"Leiden";490
"S Overige dienstverlening";"2014";"Leiden";490
"S Overige dienstverlening";"2015";"Leiden";485
"S Overige dienstverlening";"2016";"Leiden";510
"S Overige dienstverlening";"2017";"Leiden";535
"S Overige dienstverlening";"2018";"Leiden";580
"S Overige dienstverlening";"2013";"Lelystad";400
"S Overige dienstverlening";"2014";"Lelystad";425
"S Overige dienstverlening";"2015";"Lelystad";450
"S Overige dienstverlening";"2016";"Lelystad";455
"S Overige dienstverlening";"2017";"Lelystad";460
"S Overige dienstverlening";"2018";"Lelystad";465
"S Overige dienstverlening";"2013";"Maastricht";605
"S Overige dienstverlening";"2014";"Maastricht";615
"S Overige dienstverlening";"2015";"Maastricht";625
"S Overige dienstverlening";"2016";"Maastricht";645
"S Overige dienstverlening";"2017";"Maastricht";655
"S Overige dienstverlening";"2018";"Maastricht";675
"S Overige dienstverlening";"2013";"Middelburg (Z.)";235
"S Overige dienstverlening";"2014";"Middelburg (Z.)";235
"S Overige dienstverlening";"2015";"Middelburg (Z.)";250
"S Overige dienstverlening";"2016";"Middelburg (Z.)";255
"S Overige dienstverlening";"2017";"Middelburg (Z.)";270
"S Overige dienstverlening";"2018";"Middelburg (Z.)";300
"S Overige dienstverlening";"2013";"Rotterdam";2765
"S Overige dienstverlening";"2014";"Rotterdam";2810
"S Overige dienstverlening";"2015";"Rotterdam";2890
"S Overige dienstverlening";"2016";"Rotterdam";3025
"S Overige dienstverlening";"2017";"Rotterdam";3130
"S Overige dienstverlening";"2018";"Rotterdam";3330
"S Overige dienstverlening";"2013";"Tilburg";1005
"S Overige dienstverlening";"2014";"Tilburg";1065
"S Overige dienstverlening";"2015";"Tilburg";1110
"S Overige dienstverlening";"2016";"Tilburg";1135
"S Overige dienstverlening";"2017";"Tilburg";1200
"S Overige dienstverlening";"2018";"Tilburg";1250
"S Overige dienstverlening";"2013";"Utrecht (gemeente)";1580
"S Overige dienstverlening";"2014";"Utrecht (gemeente)";1605
"S Overige dienstverlening";"2015";"Utrecht (gemeente)";1630
"S Overige dienstverlening";"2016";"Utrecht (gemeente)";1675
"S Overige dienstverlening";"2017";"Utrecht (gemeente)";1700
"S Overige dienstverlening";"2018";"Utrecht (gemeente)";1750
"S Overige dienstverlening";"2013";"Zwolle";570
"S Overige dienstverlening";"2014";"Zwolle";585
"S Overige dienstverlening";"2015";"Zwolle";600
"S Overige dienstverlening";"2016";"Zwolle";640
"S Overige dienstverlening";"2017";"Zwolle";665
"S Overige dienstverlening";"2018";"Zwolle";690
"U Extraterritoriale organisaties";"2013";"Amsterdam";0
"U Extraterritoriale organisaties";"2014";"Amsterdam";0
"U Extraterritoriale organisaties";"2015";"Amsterdam";0
"U Extraterritoriale organisaties";"2016";"Amsterdam";0
"U Extraterritoriale organisaties";"2017";"Amsterdam";0
"U Extraterritoriale organisaties";"2018";"Amsterdam";0
"U Extraterritoriale organisaties";"2013";"Arnhem";0
"U Extraterritoriale organisaties";"2014";"Arnhem";0
"U Extraterritoriale organisaties";"2015";"Arnhem";0
"U Extraterritoriale organisaties";"2016";"Arnhem";0
"U Extraterritoriale organisaties";"2017";"Arnhem";0
"U Extraterritoriale organisaties";"2018";"Arnhem";0
"U Extraterritoriale organisaties";"2013";"Assen";0
"U Extraterritoriale organisaties";"2014";"Assen";0
"U Extraterritoriale organisaties";"2015";"Assen";0
"U Extraterritoriale organisaties";"2016";"Assen";0
"U Extraterritoriale organisaties";"2017";"Assen";0
"U Extraterritoriale organisaties";"2018";"Assen";0
"U Extraterritoriale organisaties";"2013";"Breda";0
"U Extraterritoriale organisaties";"2014";"Breda";0
"U Extraterritoriale organisaties";"2015";"Breda";0
"U Extraterritoriale organisaties";"2016";"Breda";0
"U Extraterritoriale organisaties";"2017";"Breda";0
"U Extraterritoriale organisaties";"2018";"Breda";0
"U Extraterritoriale organisaties";"2013";"Eindhoven";0
"U Extraterritoriale organisaties";"2014";"Eindhoven";0
"U Extraterritoriale organisaties";"2015";"Eindhoven";0
"U Extraterritoriale organisaties";"2016";"Eindhoven";0
"U Extraterritoriale organisaties";"2017";"Eindhoven";0
"U Extraterritoriale organisaties";"2018";"Eindhoven";0
"U Extraterritoriale organisaties";"2013";"Enschede";0
"U Extraterritoriale organisaties";"2014";"Enschede";0
"U Extraterritoriale organisaties";"2015";"Enschede";0
"U Extraterritoriale organisaties";"2016";"Enschede";0
"U Extraterritoriale organisaties";"2017";"Enschede";0
"U Extraterritoriale organisaties";"2018";"Enschede";0
"U Extraterritoriale organisaties";"2013";"'s-Gravenhage (gemeente)";5
"U Extraterritoriale organisaties";"2014";"'s-Gravenhage (gemeente)";0
"U Extraterritoriale organisaties";"2015";"'s-Gravenhage (gemeente)";0
"U Extraterritoriale organisaties";"2016";"'s-Gravenhage (gemeente)";0
"U Extraterritoriale organisaties";"2017";"'s-Gravenhage (gemeente)";0
"U Extraterritoriale organisaties";"2018";"'s-Gravenhage (gemeente)";0
"U Extraterritoriale organisaties";"2013";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2014";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2015";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2016";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2017";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2018";"Groningen (gemeente)";0
"U Extraterritoriale organisaties";"2013";"Haarlem";0
"U Extraterritoriale organisaties";"2014";"Haarlem";0
"U Extraterritoriale organisaties";"2015";"Haarlem";0
"U Extraterritoriale organisaties";"2016";"Haarlem";0
"U Extraterritoriale organisaties";"2017";"Haarlem";0
"U Extraterritoriale organisaties";"2018";"Haarlem";0
"U Extraterritoriale organisaties";"2013";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2014";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2015";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2016";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2017";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2018";"'s-Hertogenbosch";0
"U Extraterritoriale organisaties";"2013";"Leeuwarden";0
"U Extraterritoriale organisaties";"2014";"Leeuwarden";0
"U Extraterritoriale organisaties";"2015";"Leeuwarden";0
"U Extraterritoriale organisaties";"2016";"Leeuwarden";0
"U Extraterritoriale organisaties";"2017";"Leeuwarden";0
"U Extraterritoriale organisaties";"2018";"Leeuwarden";0
"U Extraterritoriale organisaties";"2013";"Leiden";0
"U Extraterritoriale organisaties";"2014";"Leiden";0
"U Extraterritoriale organisaties";"2015";"Leiden";0
"U Extraterritoriale organisaties";"2016";"Leiden";0
"U Extraterritoriale organisaties";"2017";"Leiden";0
"U Extraterritoriale organisaties";"2018";"Leiden";0
"U Extraterritoriale organisaties";"2013";"Lelystad";0
"U Extraterritoriale organisaties";"2014";"Lelystad";0
"U Extraterritoriale organisaties";"2015";"Lelystad";0
"U Extraterritoriale organisaties";"2016";"Lelystad";0
"U Extraterritoriale organisaties";"2017";"Lelystad";0
"U Extraterritoriale organisaties";"2018";"Lelystad";0
"U Extraterritoriale organisaties";"2013";"Maastricht";0
"U Extraterritoriale organisaties";"2014";"Maastricht";0
"U Extraterritoriale organisaties";"2015";"Maastricht";0
"U Extraterritoriale organisaties";"2016";"Maastricht";0
"U Extraterritoriale organisaties";"2017";"Maastricht";0
"U Extraterritoriale organisaties";"2018";"Maastricht";0
"U Extraterritoriale organisaties";"2013";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2014";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2015";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2016";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2017";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2018";"Middelburg (Z.)";0
"U Extraterritoriale organisaties";"2013";"Rotterdam";0
"U Extraterritoriale organisaties";"2014";"Rotterdam";0
"U Extraterritoriale organisaties";"2015";"Rotterdam";0
"U Extraterritoriale organisaties";"2016";"Rotterdam";0
"U Extraterritoriale organisaties";"2017";"Rotterdam";0
"U Extraterritoriale organisaties";"2018";"Rotterdam";0
"U Extraterritoriale organisaties";"2013";"Tilburg";0
"U Extraterritoriale organisaties";"2014";"Tilburg";0
"U Extraterritoriale organisaties";"2015";"Tilburg";0
"U Extraterritoriale organisaties";"2016";"Tilburg";0
"U Extraterritoriale organisaties";"2017";"Tilburg";0
"U Extraterritoriale organisaties";"2018";"Tilburg";0
"U Extraterritoriale organisaties";"2013";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2014";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2015";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2016";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2017";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2018";"Utrecht (gemeente)";0
"U Extraterritoriale organisaties";"2013";"Zwolle";0
"U Extraterritoriale organisaties";"2014";"Zwolle";0
"U Extraterritoriale organisaties";"2015";"Zwolle";0
"U Extraterritoriale organisaties";"2016";"Zwolle";0
"U Extraterritoriale organisaties";"2017";"Zwolle";0
"U Extraterritoriale organisaties";"2018";"Zwolle";0
