"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)";"Geregistreerde misdrijven/Geregistreerde misdrijven, relatief (% van totaal geregistreerde misdrijven)";"Geregistreerde misdrijven/Geregistreerde misdrijven per 1000 inw.  (per 1 000 inwoners)"
"Misdrijven, totaal";"2013";"Aa en Hunze";785;100;30,8
"Misdrijven, totaal";"2014";"Aa en Hunze";680;100;26,9
"Misdrijven, totaal";"2015";"Aa en Hunze";645;100;25,6
"Misdrijven, totaal";"2016";"Aa en Hunze";620;100;24,6
"Misdrijven, totaal";"2017";"Aa en Hunze";550;100;21,7
"Misdrijven, totaal";"2013";"Aalburg";435;100;34
"Misdrijven, totaal";"2014";"Aalburg";425;100;32,9
"Misdrijven, totaal";"2015";"Aalburg";385;100;29,6
"Misdrijven, totaal";"2016";"Aalburg";340;100;26
"Misdrijven, totaal";"2017";"Aalburg";275;100;21
"Misdrijven, totaal";"2013";"Aalsmeer";1280;100;41,8
"Misdrijven, totaal";"2014";"Aalsmeer";1210;100;39,4
"Misdrijven, totaal";"2015";"Aalsmeer";1100;100;35,4
"Misdrijven, totaal";"2016";"Aalsmeer";1195;100;38,2
"Misdrijven, totaal";"2017";"Aalsmeer";1215;100;38,8
"Misdrijven, totaal";"2013";"Aalten";685;100;25,3
"Misdrijven, totaal";"2014";"Aalten";685;100;25,4
"Misdrijven, totaal";"2015";"Aalten";615;100;22,9
"Misdrijven, totaal";"2016";"Aalten";635;100;23,6
"Misdrijven, totaal";"2017";"Aalten";530;100;19,6
"Misdrijven, totaal";"2013";"Abcoude";;;
"Misdrijven, totaal";"2014";"Abcoude";;;
"Misdrijven, totaal";"2015";"Abcoude";;;
"Misdrijven, totaal";"2016";"Abcoude";;;
"Misdrijven, totaal";"2017";"Abcoude";;;
"Misdrijven, totaal";"2013";"Achtkarspelen";725;100;25,9
"Misdrijven, totaal";"2014";"Achtkarspelen";770;100;27,4
"Misdrijven, totaal";"2015";"Achtkarspelen";735;100;26,2
"Misdrijven, totaal";"2016";"Achtkarspelen";760;100;27,1
"Misdrijven, totaal";"2017";"Achtkarspelen";650;100;23,3
"Misdrijven, totaal";"2013";"Alblasserdam";775;100;39,5
"Misdrijven, totaal";"2014";"Alblasserdam";765;100;38,7
"Misdrijven, totaal";"2015";"Alblasserdam";840;100;42,3
"Misdrijven, totaal";"2016";"Alblasserdam";735;100;36,7
"Misdrijven, totaal";"2017";"Alblasserdam";685;100;34,2
"Misdrijven, totaal";"2013";"Albrandswaard";1185;100;47,3
"Misdrijven, totaal";"2014";"Albrandswaard";1050;100;41,9
"Misdrijven, totaal";"2015";"Albrandswaard";1120;100;44,6
"Misdrijven, totaal";"2016";"Albrandswaard";1025;100;41,1
"Misdrijven, totaal";"2017";"Albrandswaard";965;100;38,4
"Misdrijven, totaal";"2013";"Alkmaar";8100;100;85,7
"Misdrijven, totaal";"2014";"Alkmaar";7860;100;82,9
"Misdrijven, totaal";"2015";"Alkmaar";7525;100;70,2
"Misdrijven, totaal";"2016";"Alkmaar";6960;100;64,7
"Misdrijven, totaal";"2017";"Alkmaar";5825;100;53,8
"Misdrijven, totaal";"2013";"Almelo";5305;100;73
"Misdrijven, totaal";"2014";"Almelo";4495;100;62
"Misdrijven, totaal";"2015";"Almelo";4120;100;57
"Misdrijven, totaal";"2016";"Almelo";3995;100;55,2
"Misdrijven, totaal";"2017";"Almelo";3900;100;53,8
"Misdrijven, totaal";"2013";"Almere";15255;100;78,2
"Misdrijven, totaal";"2014";"Almere";13385;100;68,3
"Misdrijven, totaal";"2015";"Almere";11915;100;60,5
"Misdrijven, totaal";"2016";"Almere";11360;100;57,3
"Misdrijven, totaal";"2017";"Almere";10040;100;50
"Misdrijven, totaal";"2013";"Alphen aan den Rijn";3995;100;54,8
"Misdrijven, totaal";"2014";"Alphen aan den Rijn";4790;100;44,9
"Misdrijven, totaal";"2015";"Alphen aan den Rijn";4480;100;41,7
"Misdrijven, totaal";"2016";"Alphen aan den Rijn";4245;100;39,3
"Misdrijven, totaal";"2017";"Alphen aan den Rijn";3730;100;34,3
"Misdrijven, totaal";"2013";"Alphen-Chaam";560;100;58
"Misdrijven, totaal";"2014";"Alphen-Chaam";430;100;44,1
"Misdrijven, totaal";"2015";"Alphen-Chaam";435;100;44,4
"Misdrijven, totaal";"2016";"Alphen-Chaam";330;100;33,2
"Misdrijven, totaal";"2017";"Alphen-Chaam";275;100;27,3
"Misdrijven, totaal";"2013";"Altena";;;
"Misdrijven, totaal";"2014";"Altena";;;
"Misdrijven, totaal";"2015";"Altena";;;
"Misdrijven, totaal";"2016";"Altena";;;
"Misdrijven, totaal";"2017";"Altena";;;
"Misdrijven, totaal";"2013";"Ameland";150;100;42
"Misdrijven, totaal";"2014";"Ameland";145;100;41,1
"Misdrijven, totaal";"2015";"Ameland";135;100;37
"Misdrijven, totaal";"2016";"Ameland";140;100;38,8
"Misdrijven, totaal";"2017";"Ameland";110;100;30,8
"Misdrijven, totaal";"2013";"Amersfoort";10655;100;71,2
"Misdrijven, totaal";"2014";"Amersfoort";9385;100;62,2
"Misdrijven, totaal";"2015";"Amersfoort";8925;100;58,5
"Misdrijven, totaal";"2016";"Amersfoort";8505;100;55,4
"Misdrijven, totaal";"2017";"Amersfoort";7640;100;49,5
"Misdrijven, totaal";"2013";"Amstelveen";5115;100;60,6
"Misdrijven, totaal";"2014";"Amstelveen";4230;100;49,8
"Misdrijven, totaal";"2015";"Amstelveen";4360;100;50
"Misdrijven, totaal";"2016";"Amstelveen";4280;100;48,3
"Misdrijven, totaal";"2017";"Amstelveen";4150;100;46,5
"Misdrijven, totaal";"2013";"Amsterdam";101650;100;127,2
"Misdrijven, totaal";"2014";"Amsterdam";96475;100;119
"Misdrijven, totaal";"2015";"Amsterdam";96185;100;117,1
"Misdrijven, totaal";"2016";"Amsterdam";91695;100;110
"Misdrijven, totaal";"2017";"Amsterdam";86745;100;102,7
"Misdrijven, totaal";"2013";"Andijk";;;
"Misdrijven, totaal";"2014";"Andijk";;;
"Misdrijven, totaal";"2015";"Andijk";;;
"Misdrijven, totaal";"2016";"Andijk";;;
"Misdrijven, totaal";"2017";"Andijk";;;
"Misdrijven, totaal";"2013";"Anna Paulowna";;;
"Misdrijven, totaal";"2014";"Anna Paulowna";;;
"Misdrijven, totaal";"2015";"Anna Paulowna";;;
"Misdrijven, totaal";"2016";"Anna Paulowna";;;
"Misdrijven, totaal";"2017";"Anna Paulowna";;;
"Misdrijven, totaal";"2013";"Apeldoorn";10830;100;68,8
"Misdrijven, totaal";"2014";"Apeldoorn";10165;100;64,5
"Misdrijven, totaal";"2015";"Apeldoorn";8915;100;56,4
"Misdrijven, totaal";"2016";"Apeldoorn";8305;100;52,2
"Misdrijven, totaal";"2017";"Apeldoorn";7360;100;46
"Misdrijven, totaal";"2013";"Appingedam";510;100;42,1
"Misdrijven, totaal";"2014";"Appingedam";500;100;41,3
"Misdrijven, totaal";"2015";"Appingedam";445;100;37
"Misdrijven, totaal";"2016";"Appingedam";475;100;39,7
"Misdrijven, totaal";"2017";"Appingedam";415;100;34,5
"Misdrijven, totaal";"2013";"Arnhem";14390;100;96,1
"Misdrijven, totaal";"2014";"Arnhem";13910;100;92,2
"Misdrijven, totaal";"2015";"Arnhem";12620;100;82,9
"Misdrijven, totaal";"2016";"Arnhem";12695;100;82,5
"Misdrijven, totaal";"2017";"Arnhem";11520;100;74
"Misdrijven, totaal";"2013";"Assen";4745;100;70,6
"Misdrijven, totaal";"2014";"Assen";4130;100;61,4
"Misdrijven, totaal";"2015";"Assen";3840;100;57,2
"Misdrijven, totaal";"2016";"Assen";3755;100;56
"Misdrijven, totaal";"2017";"Assen";3380;100;50,1
"Misdrijven, totaal";"2013";"Asten";875;100;53,4
"Misdrijven, totaal";"2014";"Asten";900;100;54,7
"Misdrijven, totaal";"2015";"Asten";860;100;51,9
"Misdrijven, totaal";"2016";"Asten";765;100;46,2
"Misdrijven, totaal";"2017";"Asten";685;100;40,9
"Misdrijven, totaal";"2013";"Baarle-Nassau";335;100;49,7
"Misdrijven, totaal";"2014";"Baarle-Nassau";335;100;50,5
"Misdrijven, totaal";"2015";"Baarle-Nassau";315;100;48
"Misdrijven, totaal";"2016";"Baarle-Nassau";230;100;34,8
"Misdrijven, totaal";"2017";"Baarle-Nassau";235;100;35,6
"Misdrijven, totaal";"2013";"Baarn";1345;100;55,4
"Misdrijven, totaal";"2014";"Baarn";1280;100;52,6
"Misdrijven, totaal";"2015";"Baarn";1245;100;51,1
"Misdrijven, totaal";"2016";"Baarn";1280;100;52,3
"Misdrijven, totaal";"2017";"Baarn";1195;100;48,8
"Misdrijven, totaal";"2013";"Barendrecht";2070;100;43,7
"Misdrijven, totaal";"2014";"Barendrecht";1975;100;41,7
"Misdrijven, totaal";"2015";"Barendrecht";1965;100;41,4
"Misdrijven, totaal";"2016";"Barendrecht";2080;100;43,5
"Misdrijven, totaal";"2017";"Barendrecht";2120;100;43,9
"Misdrijven, totaal";"2013";"Barneveld";2460;100;45,8
"Misdrijven, totaal";"2014";"Barneveld";2215;100;40,9
"Misdrijven, totaal";"2015";"Barneveld";2170;100;39,7
"Misdrijven, totaal";"2016";"Barneveld";2075;100;37,4
"Misdrijven, totaal";"2017";"Barneveld";1715;100;30,4
"Misdrijven, totaal";"2013";"Bedum";230;100;22
"Misdrijven, totaal";"2014";"Bedum";265;100;25,1
"Misdrijven, totaal";"2015";"Bedum";255;100;24,6
"Misdrijven, totaal";"2016";"Bedum";200;100;19,1
"Misdrijven, totaal";"2017";"Bedum";175;100;16,6
"Misdrijven, totaal";"2013";"Beek (L.)";1195;100;73
"Misdrijven, totaal";"2014";"Beek (L.)";1060;100;65,1
"Misdrijven, totaal";"2015";"Beek (L.)";1090;100;67,2
"Misdrijven, totaal";"2016";"Beek (L.)";1030;100;64,2
"Misdrijven, totaal";"2017";"Beek (L.)";965;100;60,5
"Misdrijven, totaal";"2013";"Beekdaelen";;;
"Misdrijven, totaal";"2014";"Beekdaelen";;;
"Misdrijven, totaal";"2015";"Beekdaelen";;;
"Misdrijven, totaal";"2016";"Beekdaelen";;;
"Misdrijven, totaal";"2017";"Beekdaelen";;;
"Misdrijven, totaal";"2013";"Beemster";360;100;41,1
"Misdrijven, totaal";"2014";"Beemster";265;100;29,7
"Misdrijven, totaal";"2015";"Beemster";255;100;28,9
"Misdrijven, totaal";"2016";"Beemster";285;100;31,9
"Misdrijven, totaal";"2017";"Beemster";245;100;26,5
"Misdrijven, totaal";"2013";"Beesel";590;100;43,2
"Misdrijven, totaal";"2014";"Beesel";475;100;35
"Misdrijven, totaal";"2015";"Beesel";435;100;32,2
"Misdrijven, totaal";"2016";"Beesel";445;100;33,2
"Misdrijven, totaal";"2017";"Beesel";350;100;26,3
"Misdrijven, totaal";"2013";"Bellingwedde";265;100;29,4
"Misdrijven, totaal";"2014";"Bellingwedde";225;100;25
"Misdrijven, totaal";"2015";"Bellingwedde";220;100;23,8
"Misdrijven, totaal";"2016";"Bellingwedde";205;100;23
"Misdrijven, totaal";"2017";"Bellingwedde";220;100;24,7
"Misdrijven, totaal";"2013";"Berg en Dal";;;
"Misdrijven, totaal";"2014";"Berg en Dal";;;
"Misdrijven, totaal";"2015";"Berg en Dal";;;
"Misdrijven, totaal";"2016";"Berg en Dal";1195;100;34,6
"Misdrijven, totaal";"2017";"Berg en Dal";1020;100;29,4
"Misdrijven, totaal";"2013";"Bergambacht";330;100;33,4
"Misdrijven, totaal";"2014";"Bergambacht";260;100;26
"Misdrijven, totaal";"2015";"Bergambacht";;;
"Misdrijven, totaal";"2016";"Bergambacht";;;
"Misdrijven, totaal";"2017";"Bergambacht";;;
"Misdrijven, totaal";"2013";"Bergeijk";875;100;48
"Misdrijven, totaal";"2014";"Bergeijk";675;100;37,1
"Misdrijven, totaal";"2015";"Bergeijk";640;100;35,2
"Misdrijven, totaal";"2016";"Bergeijk";600;100;32,8
"Misdrijven, totaal";"2017";"Bergeijk";625;100;34,1
"Misdrijven, totaal";"2013";"Bergen (L.)";555;100;41,7
"Misdrijven, totaal";"2014";"Bergen (L.)";495;100;37,3
"Misdrijven, totaal";"2015";"Bergen (L.)";465;100;35,3
"Misdrijven, totaal";"2016";"Bergen (L.)";420;100;32,2
"Misdrijven, totaal";"2017";"Bergen (L.)";340;100;25,8
"Misdrijven, totaal";"2013";"Bergen (NH.)";1325;100;43,7
"Misdrijven, totaal";"2014";"Bergen (NH.)";1255;100;41,7
"Misdrijven, totaal";"2015";"Bergen (NH.)";1265;100;42,2
"Misdrijven, totaal";"2016";"Bergen (NH.)";1185;100;39,6
"Misdrijven, totaal";"2017";"Bergen (NH.)";870;100;29,2
"Misdrijven, totaal";"2013";"Bergen op Zoom";4765;100;71,9
"Misdrijven, totaal";"2014";"Bergen op Zoom";4240;100;63,8
"Misdrijven, totaal";"2015";"Bergen op Zoom";4135;100;62,3
"Misdrijven, totaal";"2016";"Bergen op Zoom";3900;100;58,9
"Misdrijven, totaal";"2017";"Bergen op Zoom";3300;100;49,9
"Misdrijven, totaal";"2013";"Berkelland";1445;100;32,3
"Misdrijven, totaal";"2014";"Berkelland";1305;100;29,2
"Misdrijven, totaal";"2015";"Berkelland";1185;100;26,7
"Misdrijven, totaal";"2016";"Berkelland";1075;100;24,1
"Misdrijven, totaal";"2017";"Berkelland";1045;100;23,7
"Misdrijven, totaal";"2013";"Bernheze";1325;100;44,5
"Misdrijven, totaal";"2014";"Bernheze";1170;100;39,4
"Misdrijven, totaal";"2015";"Bernheze";1165;100;39,3
"Misdrijven, totaal";"2016";"Bernheze";1040;100;34,9
"Misdrijven, totaal";"2017";"Bernheze";885;100;29,3
"Misdrijven, totaal";"2013";"Bernisse";395;100;31,7
"Misdrijven, totaal";"2014";"Bernisse";380;100;30,6
"Misdrijven, totaal";"2015";"Bernisse";;;
"Misdrijven, totaal";"2016";"Bernisse";;;
"Misdrijven, totaal";"2017";"Bernisse";;;
"Misdrijven, totaal";"2013";"Best";1625;100;56,8
"Misdrijven, totaal";"2014";"Best";1540;100;53,8
"Misdrijven, totaal";"2015";"Best";1440;100;50,1
"Misdrijven, totaal";"2016";"Best";1310;100;45,3
"Misdrijven, totaal";"2017";"Best";1105;100;37,8
"Misdrijven, totaal";"2013";"Beuningen";1115;100;44,1
"Misdrijven, totaal";"2014";"Beuningen";1030;100;40,8
"Misdrijven, totaal";"2015";"Beuningen";910;100;36,1
"Misdrijven, totaal";"2016";"Beuningen";890;100;35,1
"Misdrijven, totaal";"2017";"Beuningen";885;100;34,8
"Misdrijven, totaal";"2013";"Beverwijk";2985;100;74,5
"Misdrijven, totaal";"2014";"Beverwijk";3025;100;75,4
"Misdrijven, totaal";"2015";"Beverwijk";2690;100;66,9
"Misdrijven, totaal";"2016";"Beverwijk";2345;100;58,1
"Misdrijven, totaal";"2017";"Beverwijk";1970;100;48,4
"Misdrijven, totaal";"2013";"het Bildt";280;100;26,3
"Misdrijven, totaal";"2014";"het Bildt";235;100;22,1
"Misdrijven, totaal";"2015";"het Bildt";245;100;23,3
"Misdrijven, totaal";"2016";"het Bildt";265;100;25,3
"Misdrijven, totaal";"2017";"het Bildt";180;100;17,1
"Misdrijven, totaal";"2013";"De Bilt";1905;100;45,3
"Misdrijven, totaal";"2014";"De Bilt";1825;100;43,4
"Misdrijven, totaal";"2015";"De Bilt";1885;100;44,7
"Misdrijven, totaal";"2016";"De Bilt";1710;100;40,3
"Misdrijven, totaal";"2017";"De Bilt";1575;100;36,9
"Misdrijven, totaal";"2013";"Binnenmaas";900;100;31,1
"Misdrijven, totaal";"2014";"Binnenmaas";830;100;28,9
"Misdrijven, totaal";"2015";"Binnenmaas";840;100;29,3
"Misdrijven, totaal";"2016";"Binnenmaas";735;100;25,6
"Misdrijven, totaal";"2017";"Binnenmaas";620;100;21,3
"Misdrijven, totaal";"2013";"Bladel";940;100;47,8
"Misdrijven, totaal";"2014";"Bladel";775;100;39,1
"Misdrijven, totaal";"2015";"Bladel";875;100;44,1
"Misdrijven, totaal";"2016";"Bladel";850;100;42,6
"Misdrijven, totaal";"2017";"Bladel";615;100;30,6
"Misdrijven, totaal";"2013";"Blaricum";510;100;55,9
"Misdrijven, totaal";"2014";"Blaricum";495;100;54,7
"Misdrijven, totaal";"2015";"Blaricum";475;100;50,9
"Misdrijven, totaal";"2016";"Blaricum";520;100;54
"Misdrijven, totaal";"2017";"Blaricum";440;100;43,1
"Misdrijven, totaal";"2013";"Bloemendaal";1565;100;70,5
"Misdrijven, totaal";"2014";"Bloemendaal";1255;100;56,9
"Misdrijven, totaal";"2015";"Bloemendaal";1180;100;53
"Misdrijven, totaal";"2016";"Bloemendaal";1030;100;46,2
"Misdrijven, totaal";"2017";"Bloemendaal";960;100;42,1
"Misdrijven, totaal";"2013";"Boarnsterhim";710;100;36,3
"Misdrijven, totaal";"2014";"Boarnsterhim";;;
"Misdrijven, totaal";"2015";"Boarnsterhim";;;
"Misdrijven, totaal";"2016";"Boarnsterhim";;;
"Misdrijven, totaal";"2017";"Boarnsterhim";;;
"Misdrijven, totaal";"2013";"Bodegraven";;;
"Misdrijven, totaal";"2014";"Bodegraven";;;
"Misdrijven, totaal";"2015";"Bodegraven";;;
"Misdrijven, totaal";"2016";"Bodegraven";;;
"Misdrijven, totaal";"2017";"Bodegraven";;;
"Misdrijven, totaal";"2013";"Bodegraven-Reeuwijk";1530;100;46,7
"Misdrijven, totaal";"2014";"Bodegraven-Reeuwijk";1470;100;44,6
"Misdrijven, totaal";"2015";"Bodegraven-Reeuwijk";1315;100;39,6
"Misdrijven, totaal";"2016";"Bodegraven-Reeuwijk";1465;100;43,7
"Misdrijven, totaal";"2017";"Bodegraven-Reeuwijk";1310;100;38,8
"Misdrijven, totaal";"2013";"Boekel";330;100;32,7
"Misdrijven, totaal";"2014";"Boekel";330;100;32,7
"Misdrijven, totaal";"2015";"Boekel";300;100;29,4
"Misdrijven, totaal";"2016";"Boekel";310;100;30,4
"Misdrijven, totaal";"2017";"Boekel";225;100;21,8
"Misdrijven, totaal";"2013";"Ten Boer";165;100;21,7
"Misdrijven, totaal";"2014";"Ten Boer";155;100;20,5
"Misdrijven, totaal";"2015";"Ten Boer";140;100;18,5
"Misdrijven, totaal";"2016";"Ten Boer";155;100;21,4
"Misdrijven, totaal";"2017";"Ten Boer";125;100;16,9
"Misdrijven, totaal";"2013";"Bolsward";;;
"Misdrijven, totaal";"2014";"Bolsward";;;
"Misdrijven, totaal";"2015";"Bolsward";;;
"Misdrijven, totaal";"2016";"Bolsward";;;
"Misdrijven, totaal";"2017";"Bolsward";;;
"Misdrijven, totaal";"2013";"Borger-Odoorn";690;100;26,9
"Misdrijven, totaal";"2014";"Borger-Odoorn";690;100;27
"Misdrijven, totaal";"2015";"Borger-Odoorn";705;100;27,6
"Misdrijven, totaal";"2016";"Borger-Odoorn";600;100;23,6
"Misdrijven, totaal";"2017";"Borger-Odoorn";540;100;21,3
"Misdrijven, totaal";"2013";"Borne";710;100;32,6
"Misdrijven, totaal";"2014";"Borne";720;100;32,9
"Misdrijven, totaal";"2015";"Borne";715;100;32,5
"Misdrijven, totaal";"2016";"Borne";670;100;30
"Misdrijven, totaal";"2017";"Borne";605;100;26,5
"Misdrijven, totaal";"2013";"Borsele";535;100;23,6
"Misdrijven, totaal";"2014";"Borsele";510;100;22,6
"Misdrijven, totaal";"2015";"Borsele";560;100;24,8
"Misdrijven, totaal";"2016";"Borsele";495;100;21,9
"Misdrijven, totaal";"2017";"Borsele";465;100;20,5
"Misdrijven, totaal";"2013";"Boskoop";745;100;49
"Misdrijven, totaal";"2014";"Boskoop";;;
"Misdrijven, totaal";"2015";"Boskoop";;;
"Misdrijven, totaal";"2016";"Boskoop";;;
"Misdrijven, totaal";"2017";"Boskoop";;;
"Misdrijven, totaal";"2013";"Boxmeer";1220;100;43,3
"Misdrijven, totaal";"2014";"Boxmeer";1120;100;39,9
"Misdrijven, totaal";"2015";"Boxmeer";1155;100;40,8
"Misdrijven, totaal";"2016";"Boxmeer";1035;100;36,4
"Misdrijven, totaal";"2017";"Boxmeer";860;100;29,9
"Misdrijven, totaal";"2013";"Boxtel";1750;100;57,6
"Misdrijven, totaal";"2014";"Boxtel";1485;100;49
"Misdrijven, totaal";"2015";"Boxtel";1500;100;49,4
"Misdrijven, totaal";"2016";"Boxtel";1435;100;47,3
"Misdrijven, totaal";"2017";"Boxtel";1100;100;35,9
"Misdrijven, totaal";"2013";"Breda";15695;100;88,1
"Misdrijven, totaal";"2014";"Breda";14420;100;80,3
"Misdrijven, totaal";"2015";"Breda";13540;100;74,8
"Misdrijven, totaal";"2016";"Breda";12835;100;70,7
"Misdrijven, totaal";"2017";"Breda";11405;100;62,6
"Misdrijven, totaal";"2013";"Breukelen";;;
"Misdrijven, totaal";"2014";"Breukelen";;;
"Misdrijven, totaal";"2015";"Breukelen";;;
"Misdrijven, totaal";"2016";"Breukelen";;;
"Misdrijven, totaal";"2017";"Breukelen";;;
"Misdrijven, totaal";"2013";"Brielle";940;100;57,7
"Misdrijven, totaal";"2014";"Brielle";750;100;46
"Misdrijven, totaal";"2015";"Brielle";880;100;53,4
"Misdrijven, totaal";"2016";"Brielle";645;100;38,6
"Misdrijven, totaal";"2017";"Brielle";660;100;39,3
"Misdrijven, totaal";"2013";"Bronckhorst";1075;100;28,9
"Misdrijven, totaal";"2014";"Bronckhorst";970;100;26,3
"Misdrijven, totaal";"2015";"Bronckhorst";805;100;21,9
"Misdrijven, totaal";"2016";"Bronckhorst";775;100;21,2
"Misdrijven, totaal";"2017";"Bronckhorst";720;100;19,8
"Misdrijven, totaal";"2013";"Brummen";1050;100;49,5
"Misdrijven, totaal";"2014";"Brummen";765;100;36,2
"Misdrijven, totaal";"2015";"Brummen";745;100;35,6
"Misdrijven, totaal";"2016";"Brummen";625;100;29,9
"Misdrijven, totaal";"2017";"Brummen";550;100;26,5
"Misdrijven, totaal";"2013";"Brunssum";1895;100;65,1
"Misdrijven, totaal";"2014";"Brunssum";1940;100;67
"Misdrijven, totaal";"2015";"Brunssum";1865;100;65
"Misdrijven, totaal";"2016";"Brunssum";1775;100;62,4
"Misdrijven, totaal";"2017";"Brunssum";1360;100;48
"Misdrijven, totaal";"2013";"Bunnik";675;100;46,4
"Misdrijven, totaal";"2014";"Bunnik";680;100;46,4
"Misdrijven, totaal";"2015";"Bunnik";680;100;46,2
"Misdrijven, totaal";"2016";"Bunnik";610;100;41,4
"Misdrijven, totaal";"2017";"Bunnik";530;100;35,1
"Misdrijven, totaal";"2013";"Bunschoten";655;100;32,1
"Misdrijven, totaal";"2014";"Bunschoten";660;100;32,3
"Misdrijven, totaal";"2015";"Bunschoten";760;100;36,7
"Misdrijven, totaal";"2016";"Bunschoten";645;100;31,1
"Misdrijven, totaal";"2017";"Bunschoten";585;100;27,8
"Misdrijven, totaal";"2013";"Buren";940;100;36,3
"Misdrijven, totaal";"2014";"Buren";865;100;33,2
"Misdrijven, totaal";"2015";"Buren";715;100;27,3
"Misdrijven, totaal";"2016";"Buren";765;100;29,3
"Misdrijven, totaal";"2017";"Buren";640;100;24,3
"Misdrijven, totaal";"2013";"Bussum";2495;100;76,5
"Misdrijven, totaal";"2014";"Bussum";1985;100;60,8
"Misdrijven, totaal";"2015";"Bussum";1795;100;54,5
"Misdrijven, totaal";"2016";"Bussum";;;
"Misdrijven, totaal";"2017";"Bussum";;;
"Misdrijven, totaal";"2013";"Capelle aan den IJssel";4020;100;60,9
"Misdrijven, totaal";"2014";"Capelle aan den IJssel";3770;100;57
"Misdrijven, totaal";"2015";"Capelle aan den IJssel";3650;100;54,9
"Misdrijven, totaal";"2016";"Capelle aan den IJssel";3430;100;51,6
"Misdrijven, totaal";"2017";"Capelle aan den IJssel";3080;100;46,4
"Misdrijven, totaal";"2013";"Castricum";1600;100;46,6
"Misdrijven, totaal";"2014";"Castricum";1505;100;44
"Misdrijven, totaal";"2015";"Castricum";1405;100;40,8
"Misdrijven, totaal";"2016";"Castricum";1245;100;36
"Misdrijven, totaal";"2017";"Castricum";1050;100;29,8
"Misdrijven, totaal";"2013";"Coevorden";1715;100;48
"Misdrijven, totaal";"2014";"Coevorden";1665;100;46,5
"Misdrijven, totaal";"2015";"Coevorden";1430;100;40,2
"Misdrijven, totaal";"2016";"Coevorden";1305;100;36,9
"Misdrijven, totaal";"2017";"Coevorden";1375;100;39
"Misdrijven, totaal";"2013";"Cranendonck";960;100;47,1
"Misdrijven, totaal";"2014";"Cranendonck";925;100;45,4
"Misdrijven, totaal";"2015";"Cranendonck";860;100;41,8
"Misdrijven, totaal";"2016";"Cranendonck";890;100;43
"Misdrijven, totaal";"2017";"Cranendonck";775;100;37,6
"Misdrijven, totaal";"2013";"Cromstrijen";445;100;35
"Misdrijven, totaal";"2014";"Cromstrijen";400;100;31,5
"Misdrijven, totaal";"2015";"Cromstrijen";415;100;32,4
"Misdrijven, totaal";"2016";"Cromstrijen";350;100;27,6
"Misdrijven, totaal";"2017";"Cromstrijen";335;100;26,3
"Misdrijven, totaal";"2013";"Cuijk";1195;100;48,3
"Misdrijven, totaal";"2014";"Cuijk";1105;100;44,6
"Misdrijven, totaal";"2015";"Cuijk";1060;100;43,1
"Misdrijven, totaal";"2016";"Cuijk";990;100;40,2
"Misdrijven, totaal";"2017";"Cuijk";920;100;37,3
"Misdrijven, totaal";"2013";"Culemborg";1885;100;68,1
"Misdrijven, totaal";"2014";"Culemborg";1815;100;65,8
"Misdrijven, totaal";"2015";"Culemborg";1610;100;58,4
"Misdrijven, totaal";"2016";"Culemborg";1635;100;59,2
"Misdrijven, totaal";"2017";"Culemborg";1380;100;49,5
"Misdrijven, totaal";"2013";"Dalfsen";700;100;25,4
"Misdrijven, totaal";"2014";"Dalfsen";545;100;19,7
"Misdrijven, totaal";"2015";"Dalfsen";530;100;19,2
"Misdrijven, totaal";"2016";"Dalfsen";480;100;17,3
"Misdrijven, totaal";"2017";"Dalfsen";400;100;14,3
"Misdrijven, totaal";"2013";"Dantumadiel";420;100;22,1
"Misdrijven, totaal";"2014";"Dantumadiel";430;100;22,5
"Misdrijven, totaal";"2015";"Dantumadiel";420;100;22
"Misdrijven, totaal";"2016";"Dantumadiel";400;100;21
"Misdrijven, totaal";"2017";"Dantumadiel";360;100;19,1
"Misdrijven, totaal";"2013";"Delft";7355;100;74,2
"Misdrijven, totaal";"2014";"Delft";7190;100;71,9
"Misdrijven, totaal";"2015";"Delft";6665;100;66
"Misdrijven, totaal";"2016";"Delft";6580;100;65,1
"Misdrijven, totaal";"2017";"Delft";6260;100;61,7
"Misdrijven, totaal";"2013";"Delfzijl";1030;100;39,5
"Misdrijven, totaal";"2014";"Delfzijl";1010;100;39,3
"Misdrijven, totaal";"2015";"Delfzijl";1015;100;39,9
"Misdrijven, totaal";"2016";"Delfzijl";1125;100;44,9
"Misdrijven, totaal";"2017";"Delfzijl";1005;100;40,3
"Misdrijven, totaal";"2013";"Deurne";1720;100;54,2
"Misdrijven, totaal";"2014";"Deurne";1500;100;47,4
"Misdrijven, totaal";"2015";"Deurne";1480;100;46,6
"Misdrijven, totaal";"2016";"Deurne";1320;100;41,4
"Misdrijven, totaal";"2017";"Deurne";1160;100;36,3
"Misdrijven, totaal";"2013";"Deventer";6765;100;68,6
"Misdrijven, totaal";"2014";"Deventer";6485;100;66
"Misdrijven, totaal";"2015";"Deventer";5620;100;57
"Misdrijven, totaal";"2016";"Deventer";5570;100;56,4
"Misdrijven, totaal";"2017";"Deventer";5005;100;50,4
"Misdrijven, totaal";"2013";"Diemen";1805;100;71,7
"Misdrijven, totaal";"2014";"Diemen";1710;100;65,9
"Misdrijven, totaal";"2015";"Diemen";1755;100;65,8
