,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
10441,Limburg,Landgraaf,2017,D,Energievoorziening,0.0,0.0,Geen
10442,Limburg,Landgraaf,2017,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
10443,Limburg,Landgraaf,2017,F,Bouwnijverheid,275.0,0.007577845136401213,Hoog
10444,Limburg,Landgraaf,2017,G,Handel,425.0,0.011711215210801875,Hoog
10445,Limburg,Landgraaf,2017,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
10446,Limburg,Landgraaf,2017,I,Horeca,105.0,0.002893359052080463,Middel-Hoog
10447,Limburg,Landgraaf,2017,J,Informatie en communicatie,85.0,0.002342243042160375,Middel-Hoog
10448,Limburg,Landgraaf,2017,K,Financiële dienstverlening,105.0,0.002893359052080463,Middel-Hoog
10449,Limburg,Landgraaf,2017,L,Verhuur en handel van onroerend goed,25.0,0.0006888950124001103,Middel
10450,Limburg,Landgraaf,2017,M,Specialistische zakelijke diensten,320.0,0.008817856158721412,Hoog
10451,Limburg,Landgraaf,2017,N,Verhuur en overige zakelijke diensten,95.0,0.002617801047120419,Middel-Hoog
10452,Limburg,Landgraaf,2017,R,"Cultuur, sport en recreatie",110.0,0.003031138054560485,Middel-Hoog
10453,Limburg,Landgraaf,2017,S,Overige dienstverlening,240.0,0.006613392119041058,Hoog
10454,Limburg,Landgraaf,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
10455,Limburg,Landgraaf,2018,A,"Landbouw, bosbouw en visserij",25.0,0.0006888950124001103,Middel
10456,Limburg,Landgraaf,2018,B,Delfstoffenwinning,0.0,0.0,Geen
10457,Limburg,Landgraaf,2018,C,Industrie,100.0,0.002755580049600441,Middel-Hoog
10458,Limburg,Landgraaf,2018,D,Energievoorziening,0.0,0.0,Geen
10459,Limburg,Landgraaf,2018,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
10460,Limburg,Landgraaf,2018,F,Bouwnijverheid,290.0,0.007991182143841279,Hoog
10461,Limburg,Landgraaf,2018,G,Handel,425.0,0.011711215210801875,Hoog
10462,Limburg,Landgraaf,2018,H,Vervoer en opslag,55.0,0.0015155690272802425,Middel
10463,Limburg,Landgraaf,2018,I,Horeca,100.0,0.002755580049600441,Middel-Hoog
10464,Limburg,Landgraaf,2018,J,Informatie en communicatie,80.0,0.002204464039680353,Middel-Hoog
10465,Limburg,Landgraaf,2018,K,Financiële dienstverlening,100.0,0.002755580049600441,Middel-Hoog
10466,Limburg,Landgraaf,2018,L,Verhuur en handel van onroerend goed,25.0,0.0006888950124001103,Middel
10467,Limburg,Landgraaf,2018,M,Specialistische zakelijke diensten,340.0,0.0093689721686415,Hoog
10468,Limburg,Landgraaf,2018,N,Verhuur en overige zakelijke diensten,110.0,0.003031138054560485,Middel-Hoog
10469,Limburg,Landgraaf,2018,R,"Cultuur, sport en recreatie",120.0,0.003306696059520529,Middel-Hoog
10470,Limburg,Landgraaf,2018,S,Overige dienstverlening,250.0,0.006888950124001102,Hoog
10471,Limburg,Landgraaf,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
10472,Limburg,Leudal,2015,A,"Landbouw, bosbouw en visserij",450.0,0.012400110223201984,Hoog
10473,Limburg,Leudal,2015,B,Delfstoffenwinning,0.0,0.0,Geen
10474,Limburg,Leudal,2015,C,Industrie,200.0,0.005511160099200882,Hoog
10475,Limburg,Leudal,2015,D,Energievoorziening,0.0,0.0,Geen
10476,Limburg,Leudal,2015,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
10477,Limburg,Leudal,2015,F,Bouwnijverheid,285.0,0.007853403141361256,Hoog
10478,Limburg,Leudal,2015,G,Handel,545.0,0.015017911270322403,Hoog
10479,Limburg,Leudal,2015,H,Vervoer en opslag,85.0,0.002342243042160375,Middel-Hoog
10480,Limburg,Leudal,2015,I,Horeca,150.0,0.004133370074400662,Middel-Hoog
10481,Limburg,Leudal,2015,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
10482,Limburg,Leudal,2015,K,Financiële dienstverlening,220.0,0.00606227610912097,Hoog
10483,Limburg,Leudal,2015,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
10484,Limburg,Leudal,2015,M,Specialistische zakelijke diensten,410.0,0.011297878203361807,Hoog
10485,Limburg,Leudal,2015,N,Verhuur en overige zakelijke diensten,95.0,0.002617801047120419,Middel-Hoog
10486,Limburg,Leudal,2015,R,"Cultuur, sport en recreatie",145.0,0.003995591071920639,Middel-Hoog
10487,Limburg,Leudal,2015,S,Overige dienstverlening,195.0,0.00537338109672086,Hoog
10488,Limburg,Leudal,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
10489,Limburg,Leudal,2016,A,"Landbouw, bosbouw en visserij",455.0,0.012537889225682006,Hoog
10490,Limburg,Leudal,2016,B,Delfstoffenwinning,0.0,0.0,Geen
10491,Limburg,Leudal,2016,C,Industrie,200.0,0.005511160099200882,Hoog
10492,Limburg,Leudal,2016,D,Energievoorziening,0.0,0.0,Geen
10493,Limburg,Leudal,2016,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
10494,Limburg,Leudal,2016,F,Bouwnijverheid,290.0,0.007991182143841279,Hoog
10495,Limburg,Leudal,2016,G,Handel,540.0,0.014880132267842381,Hoog
10496,Limburg,Leudal,2016,H,Vervoer en opslag,85.0,0.002342243042160375,Middel-Hoog
10497,Limburg,Leudal,2016,I,Horeca,150.0,0.004133370074400662,Middel-Hoog
10498,Limburg,Leudal,2016,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
10499,Limburg,Leudal,2016,K,Financiële dienstverlening,230.0,0.006337834114081014,Hoog
10500,Limburg,Leudal,2016,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10501,Limburg,Leudal,2016,M,Specialistische zakelijke diensten,425.0,0.011711215210801875,Hoog
10502,Limburg,Leudal,2016,N,Verhuur en overige zakelijke diensten,105.0,0.002893359052080463,Middel-Hoog
10503,Limburg,Leudal,2016,R,"Cultuur, sport en recreatie",150.0,0.004133370074400662,Middel-Hoog
10504,Limburg,Leudal,2016,S,Overige dienstverlening,205.0,0.005648939101680904,Hoog
10505,Limburg,Leudal,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
10506,Limburg,Leudal,2017,A,"Landbouw, bosbouw en visserij",455.0,0.012537889225682006,Hoog
10507,Limburg,Leudal,2017,B,Delfstoffenwinning,0.0,0.0,Geen
10508,Limburg,Leudal,2017,C,Industrie,195.0,0.00537338109672086,Hoog
10509,Limburg,Leudal,2017,D,Energievoorziening,0.0,0.0,Geen
10510,Limburg,Leudal,2017,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
10511,Limburg,Leudal,2017,F,Bouwnijverheid,305.0,0.008404519151281344,Hoog
10512,Limburg,Leudal,2017,G,Handel,530.0,0.014604574262882338,Hoog
10513,Limburg,Leudal,2017,H,Vervoer en opslag,80.0,0.002204464039680353,Middel-Hoog
10514,Limburg,Leudal,2017,I,Horeca,145.0,0.003995591071920639,Middel-Hoog
10515,Limburg,Leudal,2017,J,Informatie en communicatie,95.0,0.002617801047120419,Middel-Hoog
10516,Limburg,Leudal,2017,K,Financiële dienstverlening,235.0,0.006475613116561036,Hoog
10517,Limburg,Leudal,2017,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10518,Limburg,Leudal,2017,M,Specialistische zakelijke diensten,430.0,0.011848994213281895,Hoog
10519,Limburg,Leudal,2017,N,Verhuur en overige zakelijke diensten,100.0,0.002755580049600441,Middel-Hoog
10520,Limburg,Leudal,2017,R,"Cultuur, sport en recreatie",165.0,0.004546707081840727,Middel-Hoog
10521,Limburg,Leudal,2017,S,Overige dienstverlening,210.0,0.005786718104160926,Hoog
10522,Limburg,Leudal,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
10523,Limburg,Leudal,2018,A,"Landbouw, bosbouw en visserij",460.0,0.012675668228162029,Hoog
10524,Limburg,Leudal,2018,B,Delfstoffenwinning,0.0,0.0,Geen
10525,Limburg,Leudal,2018,C,Industrie,210.0,0.005786718104160926,Hoog
10526,Limburg,Leudal,2018,D,Energievoorziening,5.0,0.00013777900248002206,Middel
10527,Limburg,Leudal,2018,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
10528,Limburg,Leudal,2018,F,Bouwnijverheid,320.0,0.008817856158721412,Hoog
10529,Limburg,Leudal,2018,G,Handel,540.0,0.014880132267842381,Hoog
10530,Limburg,Leudal,2018,H,Vervoer en opslag,80.0,0.002204464039680353,Middel-Hoog
10531,Limburg,Leudal,2018,I,Horeca,150.0,0.004133370074400662,Middel-Hoog
10532,Limburg,Leudal,2018,J,Informatie en communicatie,95.0,0.002617801047120419,Middel-Hoog
10533,Limburg,Leudal,2018,K,Financiële dienstverlening,245.0,0.00675117112152108,Hoog
10534,Limburg,Leudal,2018,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10535,Limburg,Leudal,2018,M,Specialistische zakelijke diensten,445.0,0.012262331220721963,Hoog
10536,Limburg,Leudal,2018,N,Verhuur en overige zakelijke diensten,115.0,0.003168917057040507,Middel-Hoog
10537,Limburg,Leudal,2018,R,"Cultuur, sport en recreatie",165.0,0.004546707081840727,Middel-Hoog
10538,Limburg,Leudal,2018,S,Overige dienstverlening,225.0,0.006200055111600992,Hoog
10539,Limburg,Leudal,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
10540,Limburg,Maasgouw,2015,A,"Landbouw, bosbouw en visserij",60.0,0.0016533480297602646,Middel
10541,Limburg,Maasgouw,2015,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
10542,Limburg,Maasgouw,2015,C,Industrie,120.0,0.003306696059520529,Middel-Hoog
10543,Limburg,Maasgouw,2015,D,Energievoorziening,0.0,0.0,Geen
10544,Limburg,Maasgouw,2015,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
10545,Limburg,Maasgouw,2015,F,Bouwnijverheid,185.0,0.0050978230917608156,Middel-Hoog
10546,Limburg,Maasgouw,2015,G,Handel,325.0,0.008955635161201432,Hoog
10547,Limburg,Maasgouw,2015,H,Vervoer en opslag,260.0,0.0071645081289611464,Hoog
10548,Limburg,Maasgouw,2015,I,Horeca,105.0,0.002893359052080463,Middel-Hoog
10549,Limburg,Maasgouw,2015,J,Informatie en communicatie,65.0,0.0017911270322402866,Geen
10550,Limburg,Maasgouw,2015,K,Financiële dienstverlening,170.0,0.00468448608432075,Middel-Hoog
10551,Limburg,Maasgouw,2015,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10552,Limburg,Maasgouw,2015,M,Specialistische zakelijke diensten,285.0,0.007853403141361256,Hoog
10553,Limburg,Maasgouw,2015,N,Verhuur en overige zakelijke diensten,90.0,0.002480022044640397,Middel-Hoog
10554,Limburg,Maasgouw,2015,R,"Cultuur, sport en recreatie",110.0,0.003031138054560485,Middel-Hoog
10555,Limburg,Maasgouw,2015,S,Overige dienstverlening,155.0,0.004271149076880683,Middel-Hoog
10556,Limburg,Maasgouw,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
10557,Limburg,Maasgouw,2016,A,"Landbouw, bosbouw en visserij",60.0,0.0016533480297602646,Middel
10558,Limburg,Maasgouw,2016,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
10559,Limburg,Maasgouw,2016,C,Industrie,125.0,0.003444475062000551,Middel-Hoog
10560,Limburg,Maasgouw,2016,D,Energievoorziening,0.0,0.0,Geen
10561,Limburg,Maasgouw,2016,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
10562,Limburg,Maasgouw,2016,F,Bouwnijverheid,190.0,0.005235602094240838,Geen
10563,Limburg,Maasgouw,2016,G,Handel,335.0,0.009231193166161477,Hoog
10564,Limburg,Maasgouw,2016,H,Vervoer en opslag,255.0,0.007026729126481124,Hoog
10565,Limburg,Maasgouw,2016,I,Horeca,105.0,0.002893359052080463,Middel-Hoog
10566,Limburg,Maasgouw,2016,J,Informatie en communicatie,60.0,0.0016533480297602646,Middel
10567,Limburg,Maasgouw,2016,K,Financiële dienstverlening,165.0,0.004546707081840727,Middel-Hoog
10568,Limburg,Maasgouw,2016,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10569,Limburg,Maasgouw,2016,M,Specialistische zakelijke diensten,295.0,0.008128961146321301,Hoog
10570,Limburg,Maasgouw,2016,N,Verhuur en overige zakelijke diensten,85.0,0.002342243042160375,Middel-Hoog
10571,Limburg,Maasgouw,2016,R,"Cultuur, sport en recreatie",115.0,0.003168917057040507,Middel-Hoog
10572,Limburg,Maasgouw,2016,S,Overige dienstverlening,165.0,0.004546707081840727,Middel-Hoog
10573,Limburg,Maasgouw,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
10574,Limburg,Maasgouw,2017,A,"Landbouw, bosbouw en visserij",65.0,0.0017911270322402866,Geen
10575,Limburg,Maasgouw,2017,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
10576,Limburg,Maasgouw,2017,C,Industrie,120.0,0.003306696059520529,Middel-Hoog
10577,Limburg,Maasgouw,2017,D,Energievoorziening,0.0,0.0,Geen
10578,Limburg,Maasgouw,2017,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
10579,Limburg,Maasgouw,2017,F,Bouwnijverheid,195.0,0.00537338109672086,Hoog
10580,Limburg,Maasgouw,2017,G,Handel,330.0,0.009093414163681455,Hoog
10581,Limburg,Maasgouw,2017,H,Vervoer en opslag,250.0,0.006888950124001102,Hoog
10582,Limburg,Maasgouw,2017,I,Horeca,105.0,0.002893359052080463,Middel-Hoog
10583,Limburg,Maasgouw,2017,J,Informatie en communicatie,70.0,0.0019289060347203086,Middel-Hoog
10584,Limburg,Maasgouw,2017,K,Financiële dienstverlening,185.0,0.0050978230917608156,Middel-Hoog
10585,Limburg,Maasgouw,2017,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
10586,Limburg,Maasgouw,2017,M,Specialistische zakelijke diensten,315.0,0.00868007715624139,Hoog
10587,Limburg,Maasgouw,2017,N,Verhuur en overige zakelijke diensten,85.0,0.002342243042160375,Middel-Hoog
10588,Limburg,Maasgouw,2017,R,"Cultuur, sport en recreatie",125.0,0.003444475062000551,Middel-Hoog
10589,Limburg,Maasgouw,2017,S,Overige dienstverlening,160.0,0.004408928079360706,Middel-Hoog
10590,Limburg,Maasgouw,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
10591,Limburg,Maasgouw,2018,A,"Landbouw, bosbouw en visserij",65.0,0.0017911270322402866,Geen
10592,Limburg,Maasgouw,2018,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
10593,Limburg,Maasgouw,2018,C,Industrie,130.0,0.0035822540644805732,Middel-Hoog
10594,Limburg,Maasgouw,2018,D,Energievoorziening,0.0,0.0,Geen
10595,Limburg,Maasgouw,2018,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
10596,Limburg,Maasgouw,2018,F,Bouwnijverheid,200.0,0.005511160099200882,Hoog
10597,Limburg,Maasgouw,2018,G,Handel,345.0,0.00950675117112152,Hoog
10598,Limburg,Maasgouw,2018,H,Vervoer en opslag,265.0,0.007302287131441169,Hoog
10599,Limburg,Maasgouw,2018,I,Horeca,105.0,0.002893359052080463,Middel-Hoog
10600,Limburg,Maasgouw,2018,J,Informatie en communicatie,80.0,0.002204464039680353,Middel-Hoog
10601,Limburg,Maasgouw,2018,K,Financiële dienstverlening,185.0,0.0050978230917608156,Middel-Hoog
10602,Limburg,Maasgouw,2018,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
10603,Limburg,Maasgouw,2018,M,Specialistische zakelijke diensten,315.0,0.00868007715624139,Hoog
10604,Limburg,Maasgouw,2018,N,Verhuur en overige zakelijke diensten,90.0,0.002480022044640397,Middel-Hoog
10605,Limburg,Maasgouw,2018,R,"Cultuur, sport en recreatie",120.0,0.003306696059520529,Middel-Hoog
10606,Limburg,Maasgouw,2018,S,Overige dienstverlening,160.0,0.004408928079360706,Middel-Hoog
10607,Limburg,Maasgouw,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
10608,Limburg,Maastricht,2015,A,"Landbouw, bosbouw en visserij",50.0,0.0013777900248002205,Middel
10609,Limburg,Maastricht,2015,B,Delfstoffenwinning,0.0,0.0,Geen
10610,Limburg,Maastricht,2015,C,Industrie,355.0,0.009782309176081565,Hoog
10611,Limburg,Maastricht,2015,D,Energievoorziening,5.0,0.00013777900248002206,Middel
10612,Limburg,Maastricht,2015,E,Waterbedrijven en afvalbeheer,15.0,0.00041333700744006614,Middel
10613,Limburg,Maastricht,2015,F,Bouwnijverheid,520.0,0.014329016257922293,Hoog
10614,Limburg,Maastricht,2015,G,Handel,1760.0,0.04849820887296776,Hoog
10615,Limburg,Maastricht,2015,H,Vervoer en opslag,160.0,0.004408928079360706,Middel-Hoog
10616,Limburg,Maastricht,2015,I,Horeca,605.0,0.016671259300082668,Hoog
10617,Limburg,Maastricht,2015,J,Informatie en communicatie,445.0,0.012262331220721963,Hoog
10618,Limburg,Maastricht,2015,K,Financiële dienstverlening,545.0,0.015017911270322403,Hoog
10619,Limburg,Maastricht,2015,L,Verhuur en handel van onroerend goed,225.0,0.006200055111600992,Hoog
10620,Limburg,Maastricht,2015,M,Specialistische zakelijke diensten,2120.0,0.05841829705152935,Hoog
10621,Limburg,Maastricht,2015,N,Verhuur en overige zakelijke diensten,345.0,0.00950675117112152,Hoog
10622,Limburg,Maastricht,2015,R,"Cultuur, sport en recreatie",770.0,0.021217966381923397,Hoog
10623,Limburg,Maastricht,2015,S,Overige dienstverlening,625.0,0.017222375310002754,Hoog
10624,Limburg,Maastricht,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
10625,Limburg,Maastricht,2016,A,"Landbouw, bosbouw en visserij",50.0,0.0013777900248002205,Middel
10626,Limburg,Maastricht,2016,B,Delfstoffenwinning,0.0,0.0,Geen
10627,Limburg,Maastricht,2016,C,Industrie,375.0,0.010333425186001654,Hoog
10628,Limburg,Maastricht,2016,D,Energievoorziening,5.0,0.00013777900248002206,Middel
10629,Limburg,Maastricht,2016,E,Waterbedrijven en afvalbeheer,20.0,0.0005511160099200882,Middel
10630,Limburg,Maastricht,2016,F,Bouwnijverheid,550.0,0.015155690272802426,Hoog
10631,Limburg,Maastricht,2016,G,Handel,1785.0,0.04918710388536787,Hoog
10632,Limburg,Maastricht,2016,H,Vervoer en opslag,165.0,0.004546707081840727,Middel-Hoog
10633,Limburg,Maastricht,2016,I,Horeca,635.0,0.0174979333149628,Hoog
10634,Limburg,Maastricht,2016,J,Informatie en communicatie,445.0,0.012262331220721963,Hoog
10635,Limburg,Maastricht,2016,K,Financiële dienstverlening,550.0,0.015155690272802426,Hoog
10636,Limburg,Maastricht,2016,L,Verhuur en handel van onroerend goed,225.0,0.006200055111600992,Hoog
10637,Limburg,Maastricht,2016,M,Specialistische zakelijke diensten,2160.0,0.059520529071369524,Hoog
10638,Limburg,Maastricht,2016,N,Verhuur en overige zakelijke diensten,370.0,0.010195646183521631,Hoog
10639,Limburg,Maastricht,2016,R,"Cultuur, sport en recreatie",815.0,0.022457977404243594,Hoog
10640,Limburg,Maastricht,2016,S,Overige dienstverlening,645.0,0.017773491319922844,Hoog
10641,Limburg,Maastricht,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
10642,Limburg,Maastricht,2017,A,"Landbouw, bosbouw en visserij",50.0,0.0013777900248002205,Middel
10643,Limburg,Maastricht,2017,B,Delfstoffenwinning,0.0,0.0,Geen
10644,Limburg,Maastricht,2017,C,Industrie,355.0,0.009782309176081565,Hoog
10645,Limburg,Maastricht,2017,D,Energievoorziening,5.0,0.00013777900248002206,Middel
10646,Limburg,Maastricht,2017,E,Waterbedrijven en afvalbeheer,20.0,0.0005511160099200882,Middel
10647,Limburg,Maastricht,2017,F,Bouwnijverheid,575.0,0.015844585285202537,Hoog
10648,Limburg,Maastricht,2017,G,Handel,1800.0,0.049600440892807934,Hoog
10649,Limburg,Maastricht,2017,H,Vervoer en opslag,180.0,0.004960044089280794,Middel-Hoog
10650,Limburg,Maastricht,2017,I,Horeca,645.0,0.017773491319922844,Hoog
10651,Limburg,Maastricht,2017,J,Informatie en communicatie,470.0,0.012951226233122072,Hoog
10652,Limburg,Maastricht,2017,K,Financiële dienstverlening,570.0,0.015706806282722512,Hoog
10653,Limburg,Maastricht,2017,L,Verhuur en handel van onroerend goed,235.0,0.006475613116561036,Hoog
10654,Limburg,Maastricht,2017,M,Specialistische zakelijke diensten,2260.0,0.062276109120969966,Hoog
10655,Limburg,Maastricht,2017,N,Verhuur en overige zakelijke diensten,370.0,0.010195646183521631,Hoog
10656,Limburg,Maastricht,2017,R,"Cultuur, sport en recreatie",845.0,0.023284651419123725,Hoog
10657,Limburg,Maastricht,2017,S,Overige dienstverlening,655.0,0.01804904932488289,Hoog
10658,Limburg,Maastricht,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
10659,Limburg,Maastricht,2018,A,"Landbouw, bosbouw en visserij",50.0,0.0013777900248002205,Middel
10660,Limburg,Maastricht,2018,B,Delfstoffenwinning,0.0,0.0,Geen
10661,Limburg,Maastricht,2018,C,Industrie,360.0,0.009920088178561588,Hoog
10662,Limburg,Maastricht,2018,D,Energievoorziening,5.0,0.00013777900248002206,Middel
10663,Limburg,Maastricht,2018,E,Waterbedrijven en afvalbeheer,20.0,0.0005511160099200882,Middel
10664,Limburg,Maastricht,2018,F,Bouwnijverheid,590.0,0.016257922292642602,Hoog
10665,Limburg,Maastricht,2018,G,Handel,1820.0,0.050151556902728024,Hoog
10666,Limburg,Maastricht,2018,H,Vervoer en opslag,200.0,0.005511160099200882,Hoog
10667,Limburg,Maastricht,2018,I,Horeca,660.0,0.01818682832736291,Hoog
10668,Limburg,Maastricht,2018,J,Informatie en communicatie,495.0,0.013640121245522182,Hoog
10669,Limburg,Maastricht,2018,K,Financiële dienstverlening,585.0,0.016120143290162578,Hoog
10670,Limburg,Maastricht,2018,L,Verhuur en handel van onroerend goed,240.0,0.006613392119041058,Hoog
10671,Limburg,Maastricht,2018,M,Specialistische zakelijke diensten,2370.0,0.06530724717553045,Hoog
10672,Limburg,Maastricht,2018,N,Verhuur en overige zakelijke diensten,380.0,0.010471204188481676,Hoog
10673,Limburg,Maastricht,2018,R,"Cultuur, sport en recreatie",875.0,0.024111325434003857,Hoog
10674,Limburg,Maastricht,2018,S,Overige dienstverlening,675.0,0.018600165334802975,Hoog
10675,Limburg,Maastricht,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
10676,Limburg,Margraten,2015,A,"Landbouw, bosbouw en visserij",0.0,0.0,Geen
10677,Limburg,Margraten,2015,B,Delfstoffenwinning,0.0,0.0,Geen
10678,Limburg,Margraten,2015,C,Industrie,0.0,0.0,Geen
10679,Limburg,Margraten,2015,D,Energievoorziening,0.0,0.0,Geen
10680,Limburg,Margraten,2015,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
10681,Limburg,Margraten,2015,F,Bouwnijverheid,0.0,0.0,Geen
10682,Limburg,Margraten,2015,G,Handel,0.0,0.0,Geen
10683,Limburg,Margraten,2015,H,Vervoer en opslag,0.0,0.0,Geen
10684,Limburg,Margraten,2015,I,Horeca,0.0,0.0,Geen
10685,Limburg,Margraten,2015,J,Informatie en communicatie,0.0,0.0,Geen
10686,Limburg,Margraten,2015,K,Financiële dienstverlening,0.0,0.0,Geen
10687,Limburg,Margraten,2015,L,Verhuur en handel van onroerend goed,0.0,0.0,Geen
10688,Limburg,Margraten,2015,M,Specialistische zakelijke diensten,0.0,0.0,Geen
10689,Limburg,Margraten,2015,N,Verhuur en overige zakelijke diensten,0.0,0.0,Geen
10690,Limburg,Margraten,2015,R,"Cultuur, sport en recreatie",0.0,0.0,Geen
10691,Limburg,Margraten,2015,S,Overige dienstverlening,0.0,0.0,Geen
10692,Limburg,Margraten,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
10693,Limburg,Margraten,2016,A,"Landbouw, bosbouw en visserij",0.0,0.0,Geen
10694,Limburg,Margraten,2016,B,Delfstoffenwinning,0.0,0.0,Geen
10695,Limburg,Margraten,2016,C,Industrie,0.0,0.0,Geen
10696,Limburg,Margraten,2016,D,Energievoorziening,0.0,0.0,Geen
10697,Limburg,Margraten,2016,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
10698,Limburg,Margraten,2016,F,Bouwnijverheid,0.0,0.0,Geen
10699,Limburg,Margraten,2016,G,Handel,0.0,0.0,Geen
10700,Limburg,Margraten,2016,H,Vervoer en opslag,0.0,0.0,Geen
10701,Limburg,Margraten,2016,I,Horeca,0.0,0.0,Geen
10702,Limburg,Margraten,2016,J,Informatie en communicatie,0.0,0.0,Geen
10703,Limburg,Margraten,2016,K,Financiële dienstverlening,0.0,0.0,Geen
10704,Limburg,Margraten,2016,L,Verhuur en handel van onroerend goed,0.0,0.0,Geen
10705,Limburg,Margraten,2016,M,Specialistische zakelijke diensten,0.0,0.0,Geen
10706,Limburg,Margraten,2016,N,Verhuur en overige zakelijke diensten,0.0,0.0,Geen
10707,Limburg,Margraten,2016,R,"Cultuur, sport en recreatie",0.0,0.0,Geen
10708,Limburg,Margraten,2016,S,Overige dienstverlening,0.0,0.0,Geen
10709,Limburg,Margraten,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
10710,Limburg,Margraten,2017,A,"Landbouw, bosbouw en visserij",0.0,0.0,Geen
10711,Limburg,Margraten,2017,B,Delfstoffenwinning,0.0,0.0,Geen
10712,Limburg,Margraten,2017,C,Industrie,0.0,0.0,Geen
10713,Limburg,Margraten,2017,D,Energievoorziening,0.0,0.0,Geen
10714,Limburg,Margraten,2017,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
10715,Limburg,Margraten,2017,F,Bouwnijverheid,0.0,0.0,Geen
10716,Limburg,Margraten,2017,G,Handel,0.0,0.0,Geen
10717,Limburg,Margraten,2017,H,Vervoer en opslag,0.0,0.0,Geen
10718,Limburg,Margraten,2017,I,Horeca,0.0,0.0,Geen
10719,Limburg,Margraten,2017,J,Informatie en communicatie,0.0,0.0,Geen
10720,Limburg,Margraten,2017,K,Financiële dienstverlening,0.0,0.0,Geen
10721,Limburg,Margraten,2017,L,Verhuur en handel van onroerend goed,0.0,0.0,Geen
10722,Limburg,Margraten,2017,M,Specialistische zakelijke diensten,0.0,0.0,Geen
10723,Limburg,Margraten,2017,N,Verhuur en overige zakelijke diensten,0.0,0.0,Geen
10724,Limburg,Margraten,2017,R,"Cultuur, sport en recreatie",0.0,0.0,Geen
10725,Limburg,Margraten,2017,S,Overige dienstverlening,0.0,0.0,Geen
10726,Limburg,Margraten,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
10727,Limburg,Margraten,2018,A,"Landbouw, bosbouw en visserij",0.0,0.0,Geen
10728,Limburg,Margraten,2018,B,Delfstoffenwinning,0.0,0.0,Geen
10729,Limburg,Margraten,2018,C,Industrie,0.0,0.0,Geen
10730,Limburg,Margraten,2018,D,Energievoorziening,0.0,0.0,Geen
10731,Limburg,Margraten,2018,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
10732,Limburg,Margraten,2018,F,Bouwnijverheid,0.0,0.0,Geen
10733,Limburg,Margraten,2018,G,Handel,0.0,0.0,Geen
10734,Limburg,Margraten,2018,H,Vervoer en opslag,0.0,0.0,Geen
10735,Limburg,Margraten,2018,I,Horeca,0.0,0.0,Geen
