,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
52,Drenthe,Aa en Hunze,2018,B,Delfstoffenwinning,0.0,0.0,Geen
53,Drenthe,Aa en Hunze,2018,C,Industrie,85.0,0.002342243042160375,Middel-Hoog
54,Drenthe,Aa en Hunze,2018,D,Energievoorziening,0.0,0.0,Geen
55,Drenthe,Aa en Hunze,2018,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
56,Drenthe,Aa en Hunze,2018,F,Bouwnijverheid,220.0,0.00606227610912097,Hoog
57,Drenthe,Aa en Hunze,2018,G,Handel,335.0,0.009231193166161477,Hoog
58,Drenthe,Aa en Hunze,2018,H,Vervoer en opslag,35.0,0.0009644530173601543,Middel
59,Drenthe,Aa en Hunze,2018,I,Horeca,140.0,0.0038578120694406173,Middel-Hoog
60,Drenthe,Aa en Hunze,2018,J,Informatie en communicatie,95.0,0.002617801047120419,Middel-Hoog
61,Drenthe,Aa en Hunze,2018,K,Financiële dienstverlening,140.0,0.0038578120694406173,Middel-Hoog
62,Drenthe,Aa en Hunze,2018,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
63,Drenthe,Aa en Hunze,2018,M,Specialistische zakelijke diensten,425.0,0.011711215210801875,Hoog
64,Drenthe,Aa en Hunze,2018,N,Verhuur en overige zakelijke diensten,105.0,0.002893359052080463,Middel-Hoog
65,Drenthe,Aa en Hunze,2018,R,"Cultuur, sport en recreatie",135.0,0.0037200330669605952,Middel-Hoog
66,Drenthe,Aa en Hunze,2018,S,Overige dienstverlening,185.0,0.0050978230917608156,Middel-Hoog
67,Drenthe,Aa en Hunze,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
68,Drenthe,Assen,2015,A,"Landbouw, bosbouw en visserij",65.0,0.0017911270322402866,Geen
69,Drenthe,Assen,2015,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
70,Drenthe,Assen,2015,C,Industrie,160.0,0.004408928079360706,Middel-Hoog
71,Drenthe,Assen,2015,D,Energievoorziening,0.0,0.0,Geen
72,Drenthe,Assen,2015,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
73,Drenthe,Assen,2015,F,Bouwnijverheid,315.0,0.00868007715624139,Hoog
74,Drenthe,Assen,2015,G,Handel,935.0,0.025764673463764123,Hoog
75,Drenthe,Assen,2015,H,Vervoer en opslag,85.0,0.002342243042160375,Middel-Hoog
76,Drenthe,Assen,2015,I,Horeca,165.0,0.004546707081840727,Middel-Hoog
77,Drenthe,Assen,2015,J,Informatie en communicatie,260.0,0.0071645081289611464,Hoog
78,Drenthe,Assen,2015,K,Financiële dienstverlening,290.0,0.007991182143841279,Hoog
79,Drenthe,Assen,2015,L,Verhuur en handel van onroerend goed,50.0,0.0013777900248002205,Middel
80,Drenthe,Assen,2015,M,Specialistische zakelijke diensten,880.0,0.02424910443648388,Hoog
81,Drenthe,Assen,2015,N,Verhuur en overige zakelijke diensten,195.0,0.00537338109672086,Hoog
82,Drenthe,Assen,2015,R,"Cultuur, sport en recreatie",250.0,0.006888950124001102,Hoog
83,Drenthe,Assen,2015,S,Overige dienstverlening,345.0,0.00950675117112152,Hoog
84,Drenthe,Assen,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
85,Drenthe,Assen,2016,A,"Landbouw, bosbouw en visserij",75.0,0.002066685037200331,Middel-Hoog
86,Drenthe,Assen,2016,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
87,Drenthe,Assen,2016,C,Industrie,165.0,0.004546707081840727,Middel-Hoog
88,Drenthe,Assen,2016,D,Energievoorziening,0.0,0.0,Geen
89,Drenthe,Assen,2016,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
90,Drenthe,Assen,2016,F,Bouwnijverheid,325.0,0.008955635161201432,Hoog
91,Drenthe,Assen,2016,G,Handel,955.0,0.026315789473684213,Hoog
92,Drenthe,Assen,2016,H,Vervoer en opslag,80.0,0.002204464039680353,Middel-Hoog
93,Drenthe,Assen,2016,I,Horeca,175.0,0.0048222650868007715,Middel-Hoog
94,Drenthe,Assen,2016,J,Informatie en communicatie,285.0,0.007853403141361256,Hoog
95,Drenthe,Assen,2016,K,Financiële dienstverlening,285.0,0.007853403141361256,Hoog
96,Drenthe,Assen,2016,L,Verhuur en handel van onroerend goed,60.0,0.0016533480297602646,Middel
97,Drenthe,Assen,2016,M,Specialistische zakelijke diensten,910.0,0.025075778451364012,Hoog
98,Drenthe,Assen,2016,N,Verhuur en overige zakelijke diensten,210.0,0.005786718104160926,Hoog
99,Drenthe,Assen,2016,R,"Cultuur, sport en recreatie",255.0,0.007026729126481124,Hoog
100,Drenthe,Assen,2016,S,Overige dienstverlening,365.0,0.010057867181041609,Hoog
101,Drenthe,Assen,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
102,Drenthe,Assen,2017,A,"Landbouw, bosbouw en visserij",80.0,0.002204464039680353,Middel-Hoog
103,Drenthe,Assen,2017,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
104,Drenthe,Assen,2017,C,Industrie,165.0,0.004546707081840727,Middel-Hoog
105,Drenthe,Assen,2017,D,Energievoorziening,0.0,0.0,Geen
106,Drenthe,Assen,2017,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
107,Drenthe,Assen,2017,F,Bouwnijverheid,340.0,0.0093689721686415,Hoog
108,Drenthe,Assen,2017,G,Handel,965.0,0.026591347478644254,Hoog
109,Drenthe,Assen,2017,H,Vervoer en opslag,90.0,0.002480022044640397,Middel-Hoog
110,Drenthe,Assen,2017,I,Horeca,175.0,0.0048222650868007715,Middel-Hoog
111,Drenthe,Assen,2017,J,Informatie en communicatie,285.0,0.007853403141361256,Hoog
112,Drenthe,Assen,2017,K,Financiële dienstverlening,295.0,0.008128961146321301,Hoog
