,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
98,1 Vermogensmisdrijven,2016,Aalsmeer,Noord-Holland,680.0,57.0,0.006689621249385145,Hoog
99,1 Vermogensmisdrijven,2017,Aalsmeer,Noord-Holland,710.0,59.0,0.006984751598622725,Hoog
100,"2 Vernielingen, misdr.openb.orde/gezag",2013,Aalsmeer,Noord-Holland,190.0,15.0,0.001869158878504673,Midden
101,"2 Vernielingen, misdr.openb.orde/gezag",2014,Aalsmeer,Noord-Holland,200.0,16.0,0.001967535661583866,Midden
102,"2 Vernielingen, misdr.openb.orde/gezag",2015,Aalsmeer,Noord-Holland,130.0,12.0,0.001278898180029513,Midden
103,"2 Vernielingen, misdr.openb.orde/gezag",2016,Aalsmeer,Noord-Holland,140.0,12.0,0.0013772749631087064,Midden
104,"2 Vernielingen, misdr.openb.orde/gezag",2017,Aalsmeer,Noord-Holland,130.0,11.0,0.001278898180029513,Midden
105,3 Gewelds- en seksuele misdrijven,2013,Aalsmeer,Noord-Holland,125.0,10.0,0.0012297097884899164,Midden
106,3 Gewelds- en seksuele misdrijven,2014,Aalsmeer,Noord-Holland,135.0,11.0,0.0013280865715691098,Midden
107,3 Gewelds- en seksuele misdrijven,2015,Aalsmeer,Noord-Holland,120.0,11.0,0.0011805213969503198,Midden
108,3 Gewelds- en seksuele misdrijven,2016,Aalsmeer,Noord-Holland,140.0,12.0,0.0013772749631087064,Midden
109,3 Gewelds- en seksuele misdrijven,2017,Aalsmeer,Noord-Holland,115.0,9.0,0.001131333005410723,Midden
110,4 Misdrijven WvSr (overig),2013,Aalsmeer,Noord-Holland,5.0,1.0,4.918839153959666e-05,Laag
111,4 Misdrijven WvSr (overig),2014,Aalsmeer,Noord-Holland,15.0,1.0,0.00014756517461878997,Midden
112,4 Misdrijven WvSr (overig),2015,Aalsmeer,Noord-Holland,15.0,1.0,0.00014756517461878997,Midden
113,4 Misdrijven WvSr (overig),2016,Aalsmeer,Noord-Holland,15.0,1.0,0.00014756517461878997,Midden
114,4 Misdrijven WvSr (overig),2017,Aalsmeer,Noord-Holland,15.0,1.0,0.00014756517461878997,Midden
115,5 Verkeersmisdrijven,2013,Aalsmeer,Noord-Holland,130.0,10.0,0.001278898180029513,Midden
116,5 Verkeersmisdrijven,2014,Aalsmeer,Noord-Holland,195.0,16.0,0.0019183472700442696,Midden
117,5 Verkeersmisdrijven,2015,Aalsmeer,Noord-Holland,185.0,17.0,0.0018199704869650763,Midden
118,5 Verkeersmisdrijven,2016,Aalsmeer,Noord-Holland,205.0,17.0,0.0020167240531234628,Midden
119,5 Verkeersmisdrijven,2017,Aalsmeer,Noord-Holland,230.0,19.0,0.002262666010821446,Midden
120,6 Drugsmisdrijven,2013,Aalsmeer,Noord-Holland,10.0,1.0,9.837678307919332e-05,Laag
121,6 Drugsmisdrijven,2014,Aalsmeer,Noord-Holland,20.0,2.0,0.00019675356615838664,Midden
122,6 Drugsmisdrijven,2015,Aalsmeer,Noord-Holland,20.0,2.0,0.00019675356615838664,Midden
123,6 Drugsmisdrijven,2016,Aalsmeer,Noord-Holland,10.0,1.0,9.837678307919332e-05,Laag
124,6 Drugsmisdrijven,2017,Aalsmeer,Noord-Holland,15.0,1.0,0.00014756517461878997,Midden
